CODMUNRES,ano_nasc,Qtd_2Robson,Qtd_Total
130353,2013,0,580
130353,2014,13,585
130353,2015,5,558
130353,2016,2,548
130353,2017,3,523
130353,2018,17,558
130353,2019,9,513
130356,2012,2,361
130356,2013,0,374
130356,2014,5,412
130356,2015,7,391
130356,2016,6,415
130356,2017,1,422
130356,2018,4,431
130356,2019,3,440
130360,2012,3,344
130360,2013,0,279
130360,2014,7,225
130360,2015,2,301
130360,2016,3,305
130360,2017,2,370
130360,2018,10,372
130360,2019,11,322
130370,2012,35,603
130370,2013,0,576
130370,2014,12,652
130370,2015,6,718
130370,2016,3,693
130370,2017,8,724
130370,2018,18,704
130370,2019,42,773
130380,2012,14,1119
130380,2013,0,1143
130380,2014,7,1254
130380,2015,4,1120
130380,2016,0,1255
130380,2017,4,1214
130380,2018,28,1227
130380,2019,38,1436
130390,2012,2,959
130390,2013,0,914
130390,2014,5,987
130390,2015,2,753
130390,2016,18,871
130390,2017,14,999
130390,2018,14,935
130390,2019,14,956
130395,2012,4,178
130395,2013,0,160
130395,2014,8,163
130395,2015,4,180
130395,2016,5,178
130395,2017,8,206
130395,2018,6,186
130395,2019,5,200
130400,2012,3,181
130400,2013,0,208
130400,2014,4,180
130400,2015,8,202
130400,2016,3,208
130400,2017,1,246
130400,2018,4,197
130400,2019,5,229
130406,2012,37,1632
130406,2013,0,1619
130406,2014,15,1820
130406,2015,34,1615
130406,2016,42,1753
130406,2017,32,1701
130406,2018,92,1685
130406,2019,80,1770
130410,2012,2,401
130410,2013,0,421
130410,2014,3,391
130410,2015,6,439
130410,2016,8,389
130410,2017,5,405
130410,2018,0,394
130410,2019,2,432
130420,2012,42,1558
130420,2013,0,1732
130420,2014,37,1589
130420,2015,53,1754
130420,2016,18,1679
130420,2017,10,1763
130420,2018,7,1822
130420,2019,10,1927
130423,2012,3,348
130423,2013,0,322
130423,2014,5,366
130423,2015,2,391
130423,2016,13,363
130423,2017,13,458
130423,2018,5,435
130423,2019,7,429
130426,2012,22,288
130426,2013,0,304
130426,2014,10,302
130426,2015,18,295
130426,2016,6,264
130426,2017,10,333
130426,2018,8,286
130426,2019,12,351
130430,2012,8,298
130430,2013,0,302
130430,2014,4,284
130430,2015,0,272
130430,2016,0,265
130430,2017,2,270
130430,2018,2,261
130430,2019,4,318
130440,2012,1,321
130440,2013,0,325
130440,2014,2,329
130440,2015,1,282
130440,2016,0,299
130440,2017,2,315
130440,2018,1,313
130440,2019,1,321
140000,2012,0,2
140000,2013,0,8
140000,2014,0,7
140000,2015,0,3
140000,2016,0,1
140000,2018,0,1
140002,2012,22,308
140002,2013,0,307
140002,2014,10,298
140002,2015,13,339
140002,2016,9,331
140002,2017,19,355
140002,2018,15,433
140002,2019,15,446
140005,2012,30,600
140005,2013,0,601
140005,2014,15,563
140005,2015,20,550
140005,2016,25,620
140005,2017,20,526
140005,2018,24,737
140005,2019,29,711
140010,2012,1418,6358
140010,2013,0,6350
140010,2014,827,6755
140010,2015,957,6719
140010,2016,958,6749
140010,2017,849,7043
140010,2018,1062,8163
140010,2019,1240,8936
140015,2012,31,312
