CODMUNRES,ano_nasc,Qtd_Baixo_Peso,Qtd_Total
130290,2013,85,1317
130290,2014,72,1362
130290,2015,63,1335
130290,2016,79,1273
130290,2017,127,1553
130290,2018,120,1581
130290,2019,89,1539
130300,2012,6,344
130300,2013,17,301
130300,2014,24,357
130300,2015,20,356
130300,2016,20,338
130300,2017,23,358
130300,2018,16,314
130300,2019,27,346
130310,2012,36,591
130310,2013,61,628
130310,2014,62,619
130310,2015,39,593
130310,2016,45,587
130310,2017,41,592
130310,2018,53,612
130310,2019,74,546
130320,2012,20,257
130320,2013,21,246
130320,2014,16,307
130320,2015,19,316
130320,2016,17,289
130320,2017,19,333
130320,2018,21,327
130320,2019,19,310
130330,2012,18,321
130330,2013,11,351
130330,2014,16,344
130330,2015,31,409
130330,2016,14,386
130330,2017,30,406
130330,2018,24,379
130330,2019,34,392
130340,2012,135,2021
130340,2013,161,2133
130340,2014,180,2056
130340,2015,179,1995
130340,2016,181,1932
130340,2017,209,2139
130340,2018,197,2067
130340,2019,195,1947
130350,2012,20,308
130350,2013,16,367
130350,2014,24,364
130350,2015,29,374
130350,2016,24,348
130350,2017,29,355
130350,2018,28,362
130350,2019,44,369
130353,2012,40,556
130353,2013,27,580
130353,2014,36,585
130353,2015,44,558
130353,2016,44,548
130353,2017,35,523
130353,2018,40,558
130353,2019,30,513
130356,2012,26,361
130356,2013,24,374
130356,2014,37,412
130356,2015,35,391
130356,2016,32,415
130356,2017,23,422
130356,2018,30,431
130356,2019,36,440
130360,2012,30,344
130360,2013,13,279
130360,2014,19,225
130360,2015,14,301
130360,2016,23,305
130360,2017,31,370
130360,2018,30,372
130360,2019,31,322
130370,2012,49,603
130370,2013,38,576
130370,2014,36,652
130370,2015,57,718
130370,2016,48,693
130370,2017,33,724
130370,2018,29,704
130370,2019,51,773
130380,2012,74,1119
130380,2013,72,1143
130380,2014,75,1254
130380,2015,82,1120
130380,2016,99,1255
130380,2017,95,1214
130380,2018,77,1227
130380,2019,99,1436
130390,2012,57,959
130390,2013,61,914
130390,2014,56,987
130390,2015,61,753
130390,2016,55,871
130390,2017,48,999
130390,2018,60,935
130390,2019,70,956
130395,2012,15,178
130395,2013,6,160
130395,2014,9,163
130395,2015,7,180
