CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
130353,2013,0,580
130353,2014,157,585
130353,2015,301,558
130353,2016,268,548
130353,2017,176,523
130353,2018,5,558
130353,2019,0,513
130356,2012,67,361
130356,2013,0,374
130356,2014,18,412
130356,2015,20,391
130356,2016,8,415
130356,2017,2,422
130356,2018,0,431
130356,2019,2,440
130360,2012,5,344
130360,2013,0,279
130360,2014,2,225
130360,2015,4,301
130360,2016,3,305
130360,2017,7,370
130360,2018,11,372
130360,2019,0,322
130370,2012,5,603
130370,2013,0,576
130370,2014,18,652
130370,2015,14,718
130370,2016,20,693
130370,2017,1,724
130370,2018,1,704
130370,2019,0,773
130380,2012,76,1119
130380,2013,0,1143
130380,2014,12,1254
130380,2015,5,1120
130380,2016,1,1255
130380,2017,3,1214
130380,2018,20,1227
130380,2019,1,1436
130390,2012,14,959
130390,2013,0,914
130390,2014,3,987
130390,2015,68,753
130390,2016,6,871
130390,2017,1,999
130390,2018,9,935
130390,2019,1,956
130395,2012,2,178
130395,2013,0,160
130395,2014,17,163
130395,2015,16,180
130395,2016,5,178
130395,2017,10,206
130395,2018,0,186
130395,2019,1,200
130400,2012,25,181
130400,2013,0,208
130400,2014,3,180
130400,2015,0,202
130400,2016,0,208
130400,2017,0,246
130400,2018,0,197
130400,2019,0,229
130406,2012,12,1632
130406,2013,0,1619
130406,2014,71,1820
130406,2015,43,1615
130406,2016,115,1753
130406,2017,1,1701
130406,2018,4,1685
130406,2019,1,1770
130410,2012,10,401
130410,2013,0,421
130410,2014,12,391
130410,2015,0,439
130410,2016,4,389
130410,2017,1,405
130410,2018,4,394
130410,2019,8,432
130420,2012,22,1558
130420,2013,0,1732
130420,2014,112,1589
130420,2015,52,1754
130420,2016,98,1679
130420,2017,15,1763
130420,2018,22,1822
130420,2019,24,1927
130423,2012,4,348
130423,2013,0,322
130423,2014,23,366
130423,2015,11,391
130423,2016,0,363
130423,2017,9,458
130423,2018,11,435
130423,2019,3,429
130426,2012,55,288
130426,2013,0,304
130426,2014,26,302
130426,2015,4,295
130426,2016,3,264
130426,2017,7,333
130426,2018,8,286
130426,2019,0,351
130430,2012,5,298
130430,2013,0,302
130430,2014,55,284
130430,2015,37,272
130430,2016,24,265
130430,2017,0,270
130430,2018,2,261
130430,2019,0,318
130440,2012,17,321
130440,2013,0,325
130440,2014,7,329
130440,2015,2,282
130440,2016,2,299
130440,2017,0,315
130440,2018,1,313
130440,2019,0,321
140000,2012,1,2
140000,2013,0,8
140000,2014,1,7
140000,2015,0,3
140000,2016,0,1
140000,2018,0,1
140002,2012,15,308
140002,2013,0,307
140002,2014,20,298
140002,2015,4,339
140002,2016,2,331
140002,2017,0,355
140002,2018,0,433
140002,2019,0,446
140005,2012,19,600
140005,2013,0,601
140005,2014,48,563
140005,2015,10,550
140005,2016,4,620
140005,2017,0,526
140005,2018,1,737
140005,2019,1,711
140010,2012,13,6358
140010,2013,0,6350
140010,2014,5,6755
140010,2015,0,6719
140010,2016,1,6749
140010,2017,2,7043
140010,2018,2,8163
140010,2019,4,8936
140015,2012,0,312
140015,2013,0,327
140015,2014,0,325
140015,2015,2,355
140015,2016,0,365
140015,2017,0,377
140015,2018,3,391
140015,2019,0,470
140017,2012,4,315
140017,2013,0,335
140017,2014,2,362
140017,2015,2,327
140017,2016,0,315
140017,2017,0,352
140017,2018,1,337
140017,2019,1,385
140020,2012,5,425
140020,2013,0,424
140020,2014,6,393
140020,2015,15,414
140020,2016,3,381
140020,2017,0,407
140020,2018,0,406
140020,2019,0,445
140023,2012,2,138
140023,2013,0,151
140023,2014,0,154
140023,2015,6,139
140023,2016,0,145
140023,2017,0,183
140023,2018,0,181
140023,2019,0,204
140028,2012,8,173
140028,2013,0,147
140028,2014,11,156
140028,2015,0,169
140028,2016,2,138
140028,2017,2,154
140028,2018,0,138
140028,2019,0,185
140030,2012,2,270
140030,2013,0,351
140030,2014,8,299
140030,2015,0,341
140030,2016,0,308
