CODMUNRES,ano_nasc,Qtd_7a_serie,Qtd_Total
130420,2015,667,1754
130420,2016,644,1679
130420,2017,584,1763
130420,2018,606,1822
130420,2019,565,1927
130423,2012,182,348
130423,2013,163,322
130423,2014,157,366
130423,2015,179,391
130423,2016,121,363
130423,2017,149,458
130423,2018,142,435
130423,2019,130,429
130426,2012,141,288
130426,2013,147,304
130426,2014,131,302
130426,2015,136,295
130426,2016,118,264
130426,2017,140,333
130426,2018,123,286
130426,2019,116,351
130430,2012,107,298
130430,2013,86,302
130430,2014,73,284
130430,2015,65,272
130430,2016,47,265
130430,2017,46,270
130430,2018,54,261
130430,2019,41,318
130440,2012,140,321
130440,2013,145,325
130440,2014,127,329
130440,2015,96,282
130440,2016,94,299
130440,2017,85,315
130440,2018,83,313
130440,2019,59,321
140000,2012,0,2
140000,2013,1,8
140000,2014,1,7
140000,2015,2,3
140000,2016,0,1
140000,2018,0,1
140002,2012,207,308
140002,2013,187,307
140002,2014,156,298
140002,2015,105,339
140002,2016,150,331
140002,2017,185,355
140002,2018,250,433
140002,2019,266,446
140005,2012,198,600
140005,2013,222,601
140005,2014,358,563
140005,2015,154,550
140005,2016,317,620
140005,2017,344,526
140005,2018,569,737
140005,2019,484,711
140010,2012,1222,6358
140010,2013,1090,6350
140010,2014,982,6755
140010,2015,937,6719
140010,2016,817,6749
140010,2017,728,7043
140010,2018,790,8163
140010,2019,845,8936
140015,2012,147,312
140015,2013,130,327
140015,2014,126,325
140015,2015,156,355
140015,2016,135,365
140015,2017,137,377
140015,2018,136,391
140015,2019,132,470
140017,2012,105,315
140017,2013,127,335
140017,2014,95,362
140017,2015,115,327
140017,2016,88,315
140017,2017,89,352
140017,2018,71,337
140017,2019,91,385
140020,2012,168,425
140020,2013,194,424
140020,2014,153,393
140020,2015,120,414
140020,2016,118,381
140020,2017,122,407
140020,2018,169,406
140020,2019,135,445
140023,2012,57,138
140023,2013,49,151
140023,2014,46,154
140023,2015,38,139
140023,2016,39,145
140023,2017,40,183
140023,2018,51,181
140023,2019,36,204
140028,2012,67,173
140028,2013,64,147
140028,2014,67,156
140028,2015,44,169
140028,2016,54,138
140028,2017,60,154
140028,2018,62,138
140028,2019,69,185
140030,2012,93,270
140030,2013,119,351
