CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
130395,2012,26,178
130395,2013,0,160
130395,2014,14,163
130395,2015,20,180
130395,2016,18,178
130395,2017,36,206
130395,2018,29,186
130395,2019,36,200
130400,2012,8,181
130400,2013,0,208
130400,2014,17,180
130400,2015,20,202
130400,2016,26,208
130400,2017,22,246
130400,2018,14,197
130400,2019,22,229
130406,2012,84,1632
130406,2013,0,1619
130406,2014,125,1820
130406,2015,122,1615
130406,2016,106,1753
130406,2017,138,1701
130406,2018,156,1685
130406,2019,159,1770
130410,2012,59,401
130410,2013,0,421
130410,2014,54,391
130410,2015,65,439
130410,2016,56,389
130410,2017,61,405
130410,2018,67,394
130410,2019,67,432
130420,2012,126,1558
130420,2013,0,1732
130420,2014,132,1589
130420,2015,178,1754
130420,2016,183,1679
130420,2017,199,1763
130420,2018,216,1822
130420,2019,216,1927
130423,2012,24,348
130423,2013,0,322
130423,2014,14,366
130423,2015,24,391
130423,2016,23,363
130423,2017,28,458
130423,2018,21,435
130423,2019,24,429
130426,2012,35,288
130426,2013,0,304
130426,2014,40,302
130426,2015,35,295
130426,2016,38,264
130426,2017,53,333
130426,2018,46,286
130426,2019,50,351
130430,2012,15,298
130430,2013,0,302
130430,2014,11,284
130430,2015,16,272
130430,2016,27,265
130430,2017,29,270
130430,2018,34,261
130430,2019,38,318
130440,2012,25,321
130440,2013,0,325
130440,2014,27,329
130440,2015,18,282
130440,2016,31,299
130440,2017,38,315
130440,2018,35,313
130440,2019,49,321
140000,2012,0,2
140000,2013,0,8
140000,2014,1,7
140000,2015,0,3
140000,2016,0,1
140000,2018,0,1
140002,2012,22,308
140002,2013,0,307
140002,2014,26,298
140002,2015,24,339
140002,2016,20,331
140002,2017,27,355
140002,2018,29,433
140002,2019,46,446
140005,2012,30,600
140005,2013,0,601
140005,2014,27,563
140005,2015,27,550
140005,2016,38,620
140005,2017,37,526
140005,2018,32,737
140005,2019,39,711
140010,2012,1123,6358
140010,2013,0,6350
140010,2014,1256,6755
140010,2015,1239,6719
140010,2016,1334,6749
140010,2017,1422,7043
140010,2018,1668,8163
140010,2019,1887,8936
140015,2012,32,312
140015,2013,0,327
140015,2014,24,325
140015,2015,31,355
140015,2016,45,365
140015,2017,36,377
140015,2018,46,391
140015,2019,59,470
140017,2012,35,315
140017,2013,0,335
140017,2014,39,362
140017,2015,44,327
140017,2016,49,315
140017,2017,50,352
140017,2018,47,337
140017,2019,66,385
140020,2012,58,425
140020,2013,0,424
140020,2014,59,393
140020,2015,50,414
140020,2016,52,381
140020,2017,61,407
140020,2018,62,406
140020,2019,89,445
140023,2012,20,138
140023,2013,0,151
140023,2014,22,154
140023,2015,25,139
140023,2016,30,145
140023,2017,32,183
140023,2018,36,181
140023,2019,50,204
140028,2012,24,173
140028,2013,0,147
140028,2014,27,156
140028,2015,27,169
140028,2016,18,138
140028,2017,23,154
140028,2018,18,138
140028,2019,35,185
140030,2012,42,270
140030,2013,0,351
140030,2014,40,299
140030,2015,74,341
140030,2016,54,308
140030,2017,59,309
140030,2018,46,325
140030,2019,65,372
140040,2012,26,319
140040,2013,0,381
140040,2014,24,376
140040,2015,40,442
140040,2016,35,428
140040,2017,45,415
140040,2018,38,463
140040,2019,48,489
140045,2012,38,327
140045,2013,0,351
140045,2014,37,340
140045,2015,54,361
140045,2016,51,357
140045,2017,72,380
140045,2018,58,423
140045,2019,97,556
140047,2012,54,422
140047,2013,0,422
140047,2014,62,442
140047,2015,73,527
140047,2016,115,542
140047,2017,112,563
140047,2018,133,628
140047,2019,135,567
140050,2012,18,116
140050,2013,0,120
140050,2014,22,117
140050,2015,21,117
140050,2016,17,104
140050,2017,20,122
140050,2018,24,119
140050,2019,24,131
140060,2012,13,84
140060,2013,0,80
140060,2014,16,67
140060,2015,9,91
140060,2016,16,83
140060,2017,22,106
140060,2018,13,86
140060,2019,15,107
140070,2012,25,432
140070,2013,0,459
140070,2014,35,466
140070,2015,30,518
140070,2016,44,509
140070,2017,28,445
140070,2018,33,513
