CODMUNRES,ano_nasc,Qtd_Maior35,Qtd_Total
130230,2015,65,633
130230,2016,53,604
130230,2017,64,659
130230,2018,60,648
130230,2019,66,646
130240,2012,35,682
130240,2013,49,728
130240,2014,44,715
130240,2015,34,659
130240,2016,22,652
130240,2017,47,741
130240,2018,55,779
130240,2019,68,892
130250,2012,96,1886
130250,2013,113,2000
130250,2014,128,2130
130250,2015,126,2070
130250,2016,123,1795
130250,2017,148,1938
130250,2018,141,2056
130250,2019,175,2115
130255,2012,12,250
130255,2013,10,249
130255,2014,21,233
130255,2015,19,234
130255,2016,19,253
130255,2017,33,300
130255,2018,16,303
130255,2019,32,276
130260,2012,3873,41169
130260,2013,3962,41640
130260,2014,4339,42809
130260,2015,4582,42342
130260,2016,4565,39603
130260,2017,5059,38498
130260,2018,5223,38588
130260,2019,5303,37939
130270,2012,56,810
130270,2013,51,850
130270,2014,67,903
130270,2015,87,930
130270,2016,75,911
130270,2017,60,989
130270,2018,75,1013
130270,2019,93,1023
130280,2012,28,313
130280,2013,25,338
130280,2014,38,399
130280,2015,26,323
130280,2016,37,358
130280,2017,33,418
130280,2018,36,405
130280,2019,25,381
130290,2012,108,1311
130290,2013,118,1317
130290,2014,122,1362
130290,2015,113,1335
130290,2016,131,1273
130290,2017,149,1553
130290,2018,142,1581
130290,2019,126,1539
130300,2012,18,344
130300,2013,32,301
130300,2014,30,357
130300,2015,20,356
130300,2016,16,338
130300,2017,23,358
130300,2018,26,314
130300,2019,39,346
130310,2012,50,591
130310,2013,45,628
130310,2014,44,619
130310,2015,37,593
130310,2016,44,587
130310,2017,34,592
130310,2018,50,612
130310,2019,39,546
130320,2012,9,257
130320,2013,14,246
130320,2014,10,307
130320,2015,12,316
130320,2016,13,289
130320,2017,17,333
130320,2018,29,327
130320,2019,26,310
130330,2012,13,321
130330,2013,18,351
130330,2014,21,344
130330,2015,22,409
130330,2016,26,386
130330,2017,26,406
130330,2018,32,379
130330,2019,24,392
130340,2012,156,2021
130340,2013,154,2133
130340,2014,153,2056
130340,2015,158,1995
130340,2016,164,1932
130340,2017,196,2139
130340,2018,185,2067
130340,2019,178,1947
130350,2012,20,308
130350,2013,27,367
130350,2014,27,364
130350,2015,16,374
130350,2016,24,348
130350,2017,20,355
130350,2018,27,362
130350,2019,24,369
130353,2012,40,556
130353,2013,39,580
130353,2014,42,585
130353,2015,49,558
130353,2016,56,548
130353,2017,52,523
130353,2018,41,558
130353,2019,55,513
130356,2012,24,361
130356,2013,27,374
130356,2014,33,412
130356,2015,32,391
130356,2016,36,415
130356,2017,40,422
130356,2018,52,431
130356,2019,54,440
130360,2012,42,344
130360,2013,34,279
130360,2014,26,225
130360,2015,28,301
130360,2016,36,305
130360,2017,34,370
130360,2018,31,372
130360,2019,34,322
130370,2012,47,603
130370,2013,56,576
130370,2014,54,652
130370,2015,62,718
130370,2016,70,693
130370,2017,54,724
130370,2018,61,704
130370,2019,62,773
130380,2012,155,1119
130380,2013,139,1143
130380,2014,162,1254
130380,2015,144,1120
130380,2016,156,1255
130380,2017,152,1214
130380,2018,148,1227
130380,2019,176,1436
130390,2012,123,959
130390,2013,94,914
130390,2014,113,987
130390,2015,82,753
130390,2016,115,871
130390,2017,112,999
130390,2018,132,935
130390,2019,98,956
130395,2012,10,178
130395,2013,4,160
130395,2014,10,163
130395,2015,7,180
130395,2016,6,178
130395,2017,12,206
130395,2018,15,186
130395,2019,6,200
130400,2012,15,181
130400,2013,18,208
130400,2014,14,180
130400,2015,15,202
130400,2016,24,208
130400,2017,12,246
130400,2018,18,197
130400,2019,19,229
130406,2012,173,1632
130406,2013,179,1619
130406,2014,211,1820
130406,2015,172,1615
130406,2016,229,1753
130406,2017,210,1701
130406,2018,209,1685
130406,2019,211,1770
130410,2012,18,401
130410,2013,21,421
130410,2014,16,391
130410,2015,16,439
130410,2016,14,389
130410,2017,27,405
130410,2018,26,394
130410,2019,30,432
130420,2012,101,1558
130420,2013,113,1732
130420,2014,101,1589
130420,2015,106,1754
130420,2016,106,1679
130420,2017,137,1763
130420,2018,132,1822
130420,2019,163,1927
130423,2012,27,348
130423,2013,23,322
130423,2014,35,366
130423,2015,39,391
130423,2016,43,363
130423,2017,48,458
130423,2018,33,435
130423,2019,37,429
130426,2012,14,288
130426,2013,11,304
130426,2014,10,302
130426,2015,12,295
130426,2016,12,264
130426,2017,13,333
130426,2018,8,286
130426,2019,11,351
130430,2012,24,298
130430,2013,12,302
130430,2014,15,284
130430,2015,20,272
130430,2016,26,265
130430,2017,21,270
130430,2018,16,261
130430,2019,21,318
130440,2012,21,321
130440,2013,25,325
130440,2014,26,329
130440,2015,18,282
130440,2016,26,299
130440,2017,20,315
130440,2018,23,313
130440,2019,27,321
140000,2012,0,2
140000,2013,1,8
140000,2014,1,7
140000,2015,1,3
140000,2016,0,1
140000,2018,0,1
140002,2012,29,308
140002,2013,24,307
140002,2014,28,298
140002,2015,41,339
140002,2016,37,331
140002,2017,36,355
140002,2018,41,433
140002,2019,47,446
140005,2012,83,600
140005,2013,88,601
140005,2014,73,563
140005,2015,60,550
140005,2016,77,620
140005,2017,65,526
140005,2018,75,737
140005,2019,96,711
140010,2012,499,6358
140010,2013,575,6350
140010,2014,595,6755
140010,2015,670,6719
140010,2016,733,6749
140010,2017,787,7043
140010,2018,948,8163
140010,2019,1070,8936
140015,2012,45,312
140015,2013,33,327
140015,2014,35,325
140015,2015,54,355
140015,2016,48,365
140015,2017,54,377
140015,2018,55,391
140015,2019,61,470
140017,2012,27,315
140017,2013,29,335
140017,2014,32,362
140017,2015,31,327
140017,2016,34,315
140017,2017,39,352
140017,2018,37,337
140017,2019,51,385
140020,2012,19,425
140020,2013,27,424
140020,2014,30,393
140020,2015,26,414
140020,2016,35,381
140020,2017,29,407
140020,2018,38,406
140020,2019,35,445
140023,2012,11,138
140023,2013,10,151
140023,2014,11,154
140023,2015,8,139
140023,2016,8,145
140023,2017,20,183
140023,2018,10,181
140023,2019,18,204
140028,2012,15,173
140028,2013,16,147
140028,2014,13,156
140028,2015,12,169
140028,2016,16,138
140028,2017,14,154
140028,2018,14,138
140028,2019,13,185
140030,2012,25,270
140030,2013,28,351
140030,2014,26,299
140030,2015,24,341
140030,2016,23,308
140030,2017,26,309
140030,2018,31,325
140030,2019,35,372
140040,2012,35,319
140040,2013,59,381
140040,2014,47,376
140040,2015,48,442
140040,2016,48,428
140040,2017,42,415
140040,2018,34,463
140040,2019,70,489
140045,2012,33,327
140045,2013,32,351
140045,2014,32,340
140045,2015,25,361
140045,2016,44,357
140045,2017,32,380
140045,2018,38,423
140045,2019,50,556
140047,2012,16,422
140047,2013,21,422
140047,2014,27,442
140047,2015,26,527
140047,2016,41,542
140047,2017,44,563
140047,2018,48,628
140047,2019,56,567
140050,2012,3,116
140050,2013,7,120
140050,2014,13,117
140050,2015,11,117
140050,2016,9,104
140050,2017,12,122
140050,2018,10,119
140050,2019,14,131
140060,2012,2,84
140060,2013,6,80
140060,2014,3,67
140060,2015,6,91
140060,2016,7,83
140060,2017,7,106
140060,2018,3,86
140060,2019,10,107
140070,2012,37,432
140070,2013,48,459
140070,2014,44,466
140070,2015,61,518
140070,2016,45,509
140070,2017,60,445
140070,2018,50,513
140070,2019,77,616
150000,2012,0,4
150000,2013,0,8
150000,2014,0,2
150000,2015,0,2
150000,2016,0,2
150000,2017,0,2
150000,2018,0,1
150000,2019,0,3
150010,2012,152,2530
150010,2013,129,2538
150010,2014,134,2705
150010,2015,165,2660
150010,2016,161,2532
150010,2017,192,2713
150010,2018,184,2671
150010,2019,186,2623
150013,2012,3,114
150013,2013,12,129
150013,2014,4,100
150013,2015,5,143
150013,2016,7,117
150013,2017,10,142
150013,2018,8,130
150013,2019,14,132
150020,2012,66,966
150020,2013,58,1039
150020,2014,53,1116
150020,2015,53,936
150020,2016,60,996
150020,2017,58,992
150020,2018,58,1013
150020,2019,65,980
150030,2012,86,805
150030,2013,74,788
150030,2014,85,806
150030,2015,93,871
150030,2016,93,911
150030,2017,97,968
150030,2018,119,1022
150030,2019,109,1014
150034,2012,3,164
150034,2013,9,190
150034,2014,6,182
150034,2015,7,199
150034,2016,13,163
150034,2017,15,215
150034,2018,10,223
150034,2019,12,225
150040,2012,86,1138
150040,2013,83,1126
150040,2014,104,1133
150040,2015,99,1133
150040,2016,82,1031
150040,2017,103,1132
150040,2018,106,1190
150040,2019,123,1194
150050,2012,29,693
150050,2013,44,754
150050,2014,48,801
150050,2015,50,797
150050,2016,57,739
150050,2017,64,745
150050,2018,61,780
150050,2019,56,779
150060,2012,112,2105
150060,2013,151,2529
150060,2014,177,2866
150060,2015,163,2991
150060,2016,206,2846
150060,2017,196,2487
