CODMUNRES,ano_nasc,Qtd_2Parto,Qtd_Total
130130,2017,151,439
130130,2018,140,429
130130,2019,129,468
130140,2012,219,833
130140,2013,312,852
130140,2014,303,852
130140,2015,237,825
130140,2016,236,787
130140,2017,250,854
130140,2018,303,830
130140,2019,240,792
130150,2012,87,314
130150,2013,131,366
130150,2014,118,386
130150,2015,134,412
130150,2016,126,369
130150,2017,155,424
130150,2018,142,369
130150,2019,147,391
130160,2012,190,520
130160,2013,236,556
130160,2014,193,606
130160,2015,218,670
130160,2016,163,573
130160,2017,224,630
130160,2018,236,621
130160,2019,194,579
130165,2012,109,360
130165,2013,99,329
130165,2014,98,356
130165,2015,95,334
130165,2016,86,284
130165,2017,106,326
130165,2018,102,293
130165,2019,90,285
130170,2012,363,847
130170,2013,329,902
130170,2014,383,970
130170,2015,417,941
130170,2016,461,977
130170,2017,490,1001
130170,2018,464,1006
130170,2019,439,978
130180,2012,88,439
130180,2013,62,407
130180,2014,72,406
130180,2015,75,441
130180,2016,74,389
130180,2017,82,409
130180,2018,104,413
130180,2019,104,376
130185,2012,279,898
130185,2013,291,849
130185,2014,271,873
130185,2015,275,867
130185,2016,270,928
130185,2017,345,941
130185,2018,300,945
130185,2019,349,1021
130190,2012,562,2019
130190,2013,548,2085
130190,2014,550,2068
130190,2015,563,2078
130190,2016,542,2028
130190,2017,587,1985
130190,2018,690,2068
130190,2019,716,2034
130195,2012,53,197
130195,2013,42,260
130195,2014,58,260
130195,2015,46,293
130195,2016,43,263
130195,2017,49,245
130195,2018,64,303
130195,2019,59,247
130200,2012,45,199
130200,2013,32,184
130200,2014,30,154
130200,2015,27,148
130200,2016,36,187
130200,2017,37,165
130200,2018,35,171
130200,2019,40,173
130210,2012,10,142
130210,2013,13,130
130210,2014,17,148
130210,2015,13,169
130210,2016,12,150
130210,2017,27,161
130210,2018,21,151
130210,2019,9,121
130220,2012,61,171
130220,2013,40,202
130220,2014,41,193
130220,2015,63,217
130220,2016,45,175
130220,2017,66,253
130220,2018,101,251
130220,2019,107,235
130230,2012,87,601
130230,2013,57,629
130230,2014,29,631
130230,2015,25,633
130230,2016,35,604
130230,2017,61,659
130230,2018,72,648
130230,2019,84,646
130240,2012,183,682
130240,2013,159,728
130240,2014,178,715
130240,2015,202,659
130240,2016,220,652
130240,2017,292,741
130240,2018,252,779
130240,2019,329,892
130250,2012,573,1886
130250,2013,560,2000
130250,2014,659,2130
130250,2015,619,2070
130250,2016,527,1795
130250,2017,603,1938
130250,2018,760,2056
130250,2019,798,2115
130255,2012,63,250
130255,2013,77,249
130255,2014,68,233
130255,2015,68,234
130255,2016,89,253
130255,2017,102,300
130255,2018,96,303
130255,2019,91,276
130260,2012,20789,41169
130260,2013,20909,41640
130260,2014,21418,42809
130260,2015,20245,42342
130260,2016,18305,39603
130260,2017,18613,38498
130260,2018,18729,38588
130260,2019,18704,37939
130270,2012,181,810
130270,2013,199,850
130270,2014,214,903
130270,2015,223,930
130270,2016,238,911
130270,2017,368,989
130270,2018,294,1013
130270,2019,335,1023
130280,2012,54,313
130280,2013,102,338
130280,2014,65,399
130280,2015,52,323
130280,2016,71,358
130280,2017,106,418
130280,2018,107,405
130280,2019,104,381
130290,2012,196,1311
130290,2013,258,1317
130290,2014,314,1362
130290,2015,241,1335
130290,2016,115,1273
130290,2017,325,1553
130290,2018,394,1581
130290,2019,409,1539
130300,2012,67,344
130300,2013,57,301
130300,2014,89,357
130300,2015,84,356
130300,2016,85,338
130300,2017,125,358
130300,2018,84,314
130300,2019,112,346
130310,2012,145,591
130310,2013,154,628
130310,2014,116,619
130310,2015,148,593
130310,2016,161,587
130310,2017,150,592
130310,2018,136,612
130310,2019,143,546
130320,2012,76,257
130320,2013,45,246
130320,2014,80,307
130320,2015,82,316
130320,2016,74,289
130320,2017,118,333
130320,2018,127,327
130320,2019,100,310
130330,2012,96,321
130330,2013,79,351
130330,2014,75,344
130330,2015,80,409
130330,2016,119,386
130330,2017,144,406
130330,2018,126,379
130330,2019,157,392
130340,2012,495,2021
130340,2013,647,2133
130340,2014,502,2056
130340,2015,553,1995
130340,2016,552,1932
130340,2017,795,2139
130340,2018,897,2067
130340,2019,727,1947
130350,2012,62,308
130350,2013,43,367
130350,2014,118,364
130350,2015,148,374
130350,2016,119,348
130350,2017,126,355
130350,2018,125,362
130350,2019,79,369
130353,2012,243,556
130353,2013,287,580
130353,2014,288,585
130353,2015,234,558
130353,2016,220,548
130353,2017,216,523
130353,2018,256,558
130353,2019,223,513
130356,2012,86,361
130356,2013,110,374
130356,2014,137,412
130356,2015,134,391
130356,2016,124,415
130356,2017,144,422
130356,2018,134,431
130356,2019,143,440
130360,2012,64,344
130360,2013,43,279
130360,2014,8,225
130360,2015,21,301
130360,2016,22,305
130360,2017,37,370
130360,2018,29,372
130360,2019,27,322
130370,2012,56,603
130370,2013,49,576
130370,2014,75,652
130370,2015,76,718
130370,2016,86,693
130370,2017,51,724
130370,2018,84,704
130370,2019,93,773
130380,2012,165,1119
130380,2013,147,1143
130380,2014,96,1254
130380,2015,142,1120
130380,2016,115,1255
130380,2017,155,1214
130380,2018,195,1227
130380,2019,245,1436
130390,2012,111,959
130390,2013,114,914
130390,2014,124,987
130390,2015,158,753
130390,2016,114,871
130390,2017,121,999
130390,2018,193,935
130390,2019,229,956
130395,2012,66,178
130395,2013,44,160
130395,2014,60,163
130395,2015,48,180
130395,2016,31,178
130395,2017,55,206
130395,2018,52,186
130395,2019,47,200
130400,2012,23,181
130400,2013,25,208
130400,2014,43,180
130400,2015,38,202
130400,2016,40,208
130400,2017,32,246
130400,2018,31,197
130400,2019,45,229
130406,2012,233,1632
130406,2013,238,1619
130406,2014,282,1820
130406,2015,385,1615
130406,2016,369,1753
130406,2017,451,1701
130406,2018,419,1685
130406,2019,355,1770
130410,2012,136,401
130410,2013,151,421
130410,2014,130,391
130410,2015,143,439
130410,2016,168,389
130410,2017,133,405
130410,2018,130,394
130410,2019,109,432
130420,2012,386,1558
130420,2013,433,1732
130420,2014,363,1589
130420,2015,442,1754
130420,2016,379,1679
130420,2017,383,1763
130420,2018,396,1822
130420,2019,494,1927
130423,2012,63,348
130423,2013,55,322
130423,2014,52,366
130423,2015,79,391
130423,2016,65,363
130423,2017,67,458
130423,2018,118,435
130423,2019,90,429
130426,2012,135,288
130426,2013,83,304
130426,2014,129,302
130426,2015,65,295
130426,2016,80,264
130426,2017,75,333
130426,2018,84,286
130426,2019,127,351
130430,2012,57,298
130430,2013,61,302
130430,2014,99,284
130430,2015,81,272
130430,2016,53,265
130430,2017,78,270
130430,2018,82,261
130430,2019,96,318
130440,2012,65,321
130440,2013,78,325
130440,2014,56,329
130440,2015,33,282
130440,2016,34,299
130440,2017,45,315
130440,2018,70,313
