CODMUNRES,ano_nasc,Qtd_Ao_Menos_1_Consulta_Pre_Natal,Qtd_Total
130120,2019,1672,1698
130130,2012,416,432
130130,2013,0,424
130130,2014,413,426
130130,2015,411,434
130130,2016,394,404
130130,2017,421,439
130130,2018,419,429
130130,2019,460,468
130140,2012,713,833
130140,2013,0,852
130140,2014,769,852
130140,2015,778,825
130140,2016,743,787
130140,2017,816,854
130140,2018,807,830
130140,2019,767,792
130150,2012,310,314
130150,2013,0,366
130150,2014,374,386
130150,2015,407,412
130150,2016,363,369
130150,2017,418,424
130150,2018,367,369
130150,2019,384,391
130160,2012,498,520
130160,2013,0,556
130160,2014,600,606
130160,2015,653,670
130160,2016,557,573
130160,2017,621,630
130160,2018,459,621
130160,2019,484,579
130165,2012,325,360
130165,2013,0,329
130165,2014,346,356
130165,2015,320,334
130165,2016,270,284
130165,2017,323,326
130165,2018,286,293
130165,2019,285,285
130170,2012,818,847
130170,2013,0,902
130170,2014,945,970
130170,2015,931,941
130170,2016,962,977
130170,2017,989,1001
130170,2018,986,1006
130170,2019,956,978
130180,2012,357,439
130180,2013,0,407
130180,2014,354,406
130180,2015,402,441
130180,2016,346,389
130180,2017,361,409
130180,2018,393,413
130180,2019,373,376
130185,2012,830,898
130185,2013,0,849
130185,2014,834,873
130185,2015,814,867
130185,2016,886,928
130185,2017,910,941
130185,2018,907,945
130185,2019,1000,1021
130190,2012,1928,2019
130190,2013,0,2085
130190,2014,2008,2068
130190,2015,2045,2078
130190,2016,2010,2028
130190,2017,1928,1985
130190,2018,2015,2068
130190,2019,1997,2034
130195,2012,163,197
130195,2013,0,260
130195,2014,224,260
130195,2015,260,293
130195,2016,225,263
130195,2017,217,245
130195,2018,290,303
130195,2019,241,247
130200,2012,192,199
130200,2013,0,184
130200,2014,150,154
130200,2015,146,148
130200,2016,181,187
130200,2017,161,165
130200,2018,170,171
130200,2019,170,173
130210,2012,134,142
130210,2013,0,130
130210,2014,141,148
130210,2015,164,169
130210,2016,142,150
130210,2017,157,161
130210,2018,145,151
130210,2019,119,121
130220,2012,154,171
130220,2013,0,202
130220,2014,185,193
130220,2015,208,217
130220,2016,159,175
130220,2017,245,253
130220,2018,240,251
130220,2019,228,235
130230,2012,550,601
130230,2013,0,629
130230,2014,566,631
130230,2015,107,633
130230,2016,100,604
130230,2017,609,659
130230,2018,570,648
130230,2019,614,646
130240,2012,679,682
130240,2013,0,728
130240,2014,709,715
130240,2015,649,659
130240,2016,646,652
130240,2017,720,741
130240,2018,775,779
130240,2019,888,892
130250,2012,1702,1886
130250,2013,0,2000
130250,2014,1992,2130
130250,2015,1947,2070
130250,2016,1713,1795
130250,2017,1832,1938
130250,2018,1949,2056
130250,2019,2059,2115
130255,2012,240,250
130255,2013,0,249
130255,2014,221,233
130255,2015,229,234
130255,2016,245,253
130255,2017,296,300
130255,2018,298,303
130255,2019,271,276
130260,2012,38753,41169
130260,2013,0,41640
130260,2014,40219,42809
130260,2015,40399,42342
130260,2016,38614,39603
130260,2017,37198,38498
130260,2018,37379,38588
130260,2019,37112,37939
130270,2012,744,810
130270,2013,0,850
130270,2014,829,903
130270,2015,872,930
130270,2016,862,911
130270,2017,948,989
130270,2018,987,1013
130270,2019,1000,1023
130280,2012,286,313
130280,2013,0,338
130280,2014,391,399
130280,2015,310,323
130280,2016,330,358
130280,2017,403,418
130280,2018,397,405
130280,2019,370,381
130290,2012,1166,1311
130290,2013,0,1317
130290,2014,1330,1362
130290,2015,1250,1335
130290,2016,1179,1273
130290,2017,1452,1553
130290,2018,1499,1581
130290,2019,1476,1539
130300,2012,321,344
130300,2013,0,301
130300,2014,351,357
130300,2015,341,356
130300,2016,323,338
130300,2017,353,358
130300,2018,304,314
130300,2019,339,346
130310,2012,466,591
130310,2013,0,628
130310,2014,559,619
130310,2015,557,593
130310,2016,550,587
130310,2017,553,592
130310,2018,574,612
130310,2019,526,546
130320,2012,239,257
130320,2013,0,246
130320,2014,289,307
130320,2015,290,316
130320,2016,277,289
130320,2017,311,333
130320,2018,221,327
130320,2019,294,310
130330,2012,286,321
130330,2013,0,351
130330,2014,315,344
130330,2015,381,409
130330,2016,359,386
130330,2017,395,406
130330,2018,378,379
130330,2019,388,392
130340,2012,1977,2021
130340,2013,0,2133
130340,2014,1996,2056
130340,2015,1937,1995
130340,2016,1859,1932
130340,2017,2069,2139
130340,2018,2002,2067
130340,2019,1934,1947
130350,2012,297,308
130350,2013,0,367
130350,2014,359,364
130350,2015,368,374
130350,2016,344,348
130350,2017,350,355
130350,2018,356,362
130350,2019,356,369
130353,2012,532,556
130353,2013,0,580
130353,2014,575,585
130353,2015,263,558
130353,2016,279,548
130353,2017,346,523
130353,2018,551,558
130353,2019,509,513
130356,2012,286,361
130356,2013,0,374
130356,2014,399,412
130356,2015,380,391
130356,2016,398,415
130356,2017,413,422
130356,2018,419,431
130356,2019,429,440
130360,2012,327,344
130360,2013,0,279
130360,2014,212,225
130360,2015,287,301
130360,2016,282,305
130360,2017,340,370
130360,2018,325,372
130360,2019,305,322
130370,2012,590,603
130370,2013,0,576
130370,2014,629,652
130370,2015,692,718
130370,2016,674,693
130370,2017,712,724
130370,2018,704,704
130370,2019,772,773
130380,2012,964,1119
130380,2013,0,1143
130380,2014,1190,1254
130380,2015,1037,1120
130380,2016,1138,1255
130380,2017,1085,1214
130380,2018,1150,1227
130380,2019,1353,1436
130390,2012,933,959
130390,2013,0,914
130390,2014,975,987
130390,2015,734,753
130390,2016,857,871
130390,2017,986,999
130390,2018,923,935
130390,2019,940,956
130395,2012,177,178
130395,2013,0,160
130395,2014,159,163
130395,2015,174,180
130395,2016,171,178
130395,2017,197,206
130395,2018,161,186
130395,2019,199,200
130400,2012,176,181
130400,2013,0,208
130400,2014,179,180
130400,2015,198,202
130400,2016,207,208
130400,2017,243,246
130400,2018,194,197
130400,2019,223,229
130406,2012,1622,1632
130406,2013,0,1619
130406,2014,1695,1820
130406,2015,1519,1615
130406,2016,1684,1753
130406,2017,1676,1701
130406,2018,1677,1685
130406,2019,1764,1770
130410,2012,394,401
130410,2013,0,421
130410,2014,364,391
130410,2015,418,439
130410,2016,376,389
130410,2017,397,405
130410,2018,384,394
130410,2019,424,432
130420,2012,1498,1558
130420,2013,0,1732
130420,2014,1565,1589
130420,2015,1706,1754
130420,2016,1614,1679
130420,2017,1737,1763
130420,2018,1789,1822
130420,2019,1892,1927
130423,2012,340,348
130423,2013,0,322
130423,2014,361,366
130423,2015,387,391
130423,2016,361,363
130423,2017,451,458
130423,2018,435,435
130423,2019,427,429
130426,2012,263,288
130426,2013,0,304
130426,2014,291,302
130426,2015,294,295
130426,2016,261,264
130426,2017,330,333
130426,2018,277,286
130426,2019,346,351
130430,2012,292,298
130430,2013,0,302
130430,2014,282,284
130430,2015,266,272
130430,2016,258,265
130430,2017,269,270
130430,2018,260,261
130430,2019,316,318
130440,2012,307,321
130440,2013,0,325
130440,2014,319,329
130440,2015,271,282
130440,2016,293,299
130440,2017,300,315
