CODMUNRES,Ano,Qtd_Total,Pop
130210,2012,56,781
130210,2013,48,701
130210,2014,45,620
130210,2015,47,538
130210,2016,54,480
130210,2017,53,422
130210,2018,50,362
130210,2019,35,305
130220,2012,69,1493
130220,2013,64,1530
130220,2014,79,1562
130220,2015,100,1593
130220,2016,71,1606
130220,2017,99,1618
130220,2018,113,1630
130220,2019,79,1645
130230,2012,177,1987
130230,2013,192,1903
130230,2014,184,1811
130230,2015,204,1720
130230,2016,210,1646
130230,2017,213,1570
130230,2018,201,1494
130230,2019,229,1421
130240,2012,259,4566
130240,2013,247,4589
130240,2014,266,4592
130240,2015,262,4596
130240,2016,219,4573
130240,2017,253,4545
130240,2018,258,4517
130240,2019,296,4496
130250,2012,608,10264
130250,2013,685,10203
130250,2014,704,10087
130250,2015,648,9979
130250,2016,568,9823
130250,2017,587,9645
130250,2018,585,9476
130250,2019,580,9318
130255,2012,96,2887
130255,2013,73,2989
130255,2014,70,3081
130255,2015,66,3170
130255,2016,47,3214
130255,2017,71,3255
130255,2018,89,3295
130255,2019,67,3340
130260,2012,9456,187595
130260,2013,9685,189082
130260,2014,9741,189773
130260,2015,9239,190375
130260,2016,7947,191818
130260,2017,7398,192882
130260,2018,7185,193903
130260,2019,6735,195190
130270,2012,255,5754
130270,2013,259,5707
130270,2014,280,5637
130270,2015,286,5566
130270,2016,282,5472
130270,2017,321,5368
130270,2018,340,5262
130270,2019,295,5166
130280,2012,111,2130
130280,2013,125,2113
130280,2014,142,2086
130280,2015,98,2061
130280,2016,111,2021
130280,2017,154,1979
130280,2018,138,1937
130280,2019,132,1897
130290,2012,403,6300
130290,2013,402,6321
130290,2014,421,6315
130290,2015,422,6311
130290,2016,375,6286
130290,2017,460,6251
130290,2018,481,6217
130290,2019,492,6195
130300,2012,117,2181
130300,2013,92,2152
130300,2014,103,2115
130300,2015,110,2079
130300,2016,97,2027
130300,2017,104,1973
130300,2018,87,1924
130300,2019,91,1872
130310,2012,188,3916
130310,2013,221,3909
130310,2014,203,3887
130310,2015,205,3864
130310,2016,204,3820
130310,2017,198,3770
130310,2018,173,3718
130310,2019,187,3673
130320,2012,84,1754
130320,2013,69,1765
130320,2014,109,1769
130320,2015,114,1773
130320,2016,91,1782
130320,2017,106,1789
130320,2018,104,1796
130320,2019,99,1805
130330,2012,116,2540
130330,2013,132,2526
130330,2014,105,2502
130330,2015,146,2478
130330,2016,132,2421
130330,2017,134,2360
130330,2018,124,2299
130330,2019,133,2239
130340,2012,613,12350
130340,2013,602,12203
130340,2014,611,11996
130340,2015,589,11785
130340,2016,566,11577
130340,2017,608,11354
130340,2018,571,11124
130340,2019,526,10921
130350,2012,99,2179
130350,2013,122,2184
130350,2014,122,2179
130350,2015,126,2177
130350,2016,142,2152
130350,2017,119,2124
130350,2018,146,2096
130350,2019,128,2072
130353,2012,164,3197
130353,2013,156,3271
130353,2014,167,3332
130353,2015,153,3393
130353,2016,143,3406
130353,2017,133,3412
130353,2018,162,3417
130353,2019,135,3428
130356,2012,110,2902
130356,2013,105,2958
130356,2014,121,3003
130356,2015,112,3046
130356,2016,115,3041
130356,2017,95,3032
130356,2018,88,3022
130356,2019,108,3015
130360,2012,95,2351
130360,2013,87,2425
130360,2014,62,2487
130360,2015,85,2552
130360,2016,85,2665
130360,2017,113,2778
130360,2018,115,2892
130360,2019,93,3010
130370,2012,184,2881
130370,2013,180,2780
130370,2014,205,2666
130370,2015,234,2555
130370,2016,219,2477
130370,2017,240,2397
130370,2018,221,2314
130370,2019,249,2238
130380,2012,238,4552
130380,2013,264,4602
130380,2014,259,4634
130380,2015,260,4667
130380,2016,275,4682
130380,2017,256,4691
130380,2018,284,4700
130380,2019,334,4717
130390,2012,238,3923
130390,2013,242,3959
130390,2014,228,3980
130390,2015,210,4001
130390,2016,224,4004
130390,2017,260,4003
130390,2018,254,4001
130390,2019,249,4006
130395,2012,73,1352
130395,2013,69,1372
130395,2014,50,1386
130395,2015,69,1400
130395,2016,63,1392
130395,2017,90,1382
130395,2018,53,1372
130395,2019,70,1364
130400,2012,52,948
130400,2013,66,927
130400,2014,60,902
130400,2015,54,878
130400,2016,60,863
130400,2017,78,848
130400,2018,64,832
130400,2019,65,818
130406,2012,431,6407
130406,2013,424,6510
130406,2014,419,6586
130406,2015,407,6663
130406,2016,426,6792
130406,2017,448,6915
130406,2018,408,7040
130406,2019,442,7176
130410,2012,134,2100
130410,2013,153,2014
130410,2014,134,1920
130410,2015,142,1828
130410,2016,134,1749
130410,2017,144,1668
130410,2018,139,1588
130410,2019,149,1510
130420,2012,513,7211
130420,2013,574,7082
130420,2014,524,6922
130420,2015,572,6766
130420,2016,571,6602
130420,2017,601,6431
130420,2018,591,6260
130420,2019,645,6101
130423,2012,105,2180
130423,2013,91,2152
130423,2014,109,2112
130423,2015,120,2076
130423,2016,116,2062
130423,2017,143,2046
130423,2018,118,2029
130423,2019,126,2016
130426,2012,127,1393
130426,2013,115,1396
130426,2014,115,1394
130426,2015,110,1392
130426,2016,93,1380
130426,2017,127,1366
130426,2018,116,1353
130426,2019,141,1342
130430,2012,105,1979
130430,2013,96,1913
130430,2014,100,1839
130430,2015,74,1766
130430,2016,91,1707
130430,2017,73,1648
130430,2018,87,1589
