CODMUNRES,ano_nasc,Qtd_4a_serie,Qtd_Total
130280,2019,28,381
130290,2012,184,1311
130290,2013,155,1317
130290,2014,110,1362
130290,2015,76,1335
130290,2016,87,1273
130290,2017,110,1553
130290,2018,82,1581
130290,2019,75,1539
130300,2012,18,344
130300,2013,25,301
130300,2014,18,357
130300,2015,23,356
130300,2016,3,338
130300,2017,1,358
130300,2018,4,314
130300,2019,13,346
130310,2012,77,591
130310,2013,51,628
130310,2014,43,619
130310,2015,35,593
130310,2016,31,587
130310,2017,26,592
130310,2018,34,612
130310,2019,21,546
130320,2012,23,257
130320,2013,16,246
130320,2014,17,307
130320,2015,27,316
130320,2016,13,289
130320,2017,17,333
130320,2018,54,327
130320,2019,12,310
130330,2012,56,321
130330,2013,48,351
130330,2014,63,344
130330,2015,53,409
130330,2016,42,386
130330,2017,33,406
130330,2018,18,379
130330,2019,22,392
130340,2012,72,2021
130340,2013,63,2133
130340,2014,46,2056
130340,2015,31,1995
130340,2016,21,1932
130340,2017,47,2139
130340,2018,43,2067
130340,2019,19,1947
130350,2012,97,308
130350,2013,73,367
130350,2014,89,364
130350,2015,82,374
130350,2016,66,348
130350,2017,87,355
130350,2018,99,362
130350,2019,96,369
130353,2012,72,556
130353,2013,57,580
130353,2014,30,585
130353,2015,51,558
130353,2016,44,548
130353,2017,91,523
130353,2018,20,558
130353,2019,12,513
130356,2012,40,361
130356,2013,40,374
130356,2014,24,412
130356,2015,18,391
130356,2016,23,415
130356,2017,22,422
130356,2018,17,431
130356,2019,17,440
130360,2012,129,344
130360,2013,82,279
130360,2014,48,225
130360,2015,65,301
130360,2016,35,305
130360,2017,98,370
130360,2018,123,372
130360,2019,109,322
130370,2012,107,603
130370,2013,85,576
130370,2014,79,652
130370,2015,93,718
130370,2016,67,693
130370,2017,52,724
130370,2018,53,704
130370,2019,52,773
130380,2012,187,1119
130380,2013,213,1143
130380,2014,205,1254
130380,2015,159,1120
130380,2016,201,1255
130380,2017,225,1214
130380,2018,170,1227
130380,2019,153,1436
130390,2012,234,959
130390,2013,197,914
130390,2014,158,987
130390,2015,95,753
130390,2016,123,871
130390,2017,132,999
130390,2018,130,935
130390,2019,107,956
130395,2012,4,178
130395,2013,4,160
130395,2014,5,163
130395,2015,9,180
130395,2016,3,178
130395,2017,8,206
130395,2018,5,186
130395,2019,3,200
130400,2012,13,181
130400,2013,10,208
130400,2014,7,180
130400,2015,7,202
130400,2016,16,208
130400,2017,8,246
130400,2018,1,197
130400,2019,7,229
130406,2012,222,1632
130406,2013,266,1619
130406,2014,256,1820
130406,2015,252,1615
130406,2016,245,1753
130406,2017,161,1701
130406,2018,167,1685
130406,2019,138,1770
130410,2012,112,401
130410,2013,111,421
130410,2014,111,391
130410,2015,91,439
130410,2016,67,389
130410,2017,78,405
130410,2018,78,394
130410,2019,75,432
130420,2012,198,1558
130420,2013,178,1732
130420,2014,150,1589
130420,2015,141,1754
130420,2016,150,1679
130420,2017,105,1763
130420,2018,124,1822
