CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total
140047,2012,12,422
140047,2013,16,422
140047,2014,17,442
140047,2015,8,527
140047,2016,23,542
140047,2017,5,563
140047,2018,11,628
140047,2019,11,567
140050,2012,1,116
140050,2013,8,120
140050,2014,4,117
140050,2015,2,117
140050,2016,6,104
140050,2017,7,122
140050,2018,3,119
140050,2019,1,131
140060,2012,3,84
140060,2013,4,80
140060,2014,1,67
140060,2015,4,91
140060,2016,4,83
140060,2017,1,106
140060,2018,1,86
140060,2019,5,107
140070,2012,0,432
140070,2013,1,459
140070,2014,1,466
140070,2015,0,518
140070,2016,0,509
140070,2017,0,445
140070,2018,0,513
140070,2019,1,616
150000,2012,0,4
150000,2013,0,8
150000,2014,0,2
150000,2015,0,2
150000,2016,0,2
150000,2017,0,2
150000,2018,0,1
150000,2019,0,3
150010,2012,66,2530
150010,2013,34,2538
150010,2014,34,2705
150010,2015,19,2660
150010,2016,20,2532
150010,2017,28,2713
150010,2018,23,2671
150010,2019,19,2623
150013,2012,3,114
150013,2013,8,129
150013,2014,5,100
150013,2015,4,143
150013,2016,6,117
150013,2017,3,142
150013,2018,2,130
150013,2019,1,132
150020,2012,13,966
150020,2013,50,1039
150020,2014,60,1116
150020,2015,26,936
150020,2016,7,996
150020,2017,44,992
150020,2018,44,1013
150020,2019,30,980
150030,2012,5,805
150030,2013,8,788
150030,2014,9,806
150030,2015,19,871
150030,2016,15,911
150030,2017,10,968
150030,2018,13,1022
150030,2019,13,1014
150034,2012,6,164
150034,2013,9,190
150034,2014,4,182
150034,2015,26,199
150034,2016,6,163
150034,2017,5,215
150034,2018,4,223
150034,2019,5,225
150040,2012,5,1138
150040,2013,3,1126
150040,2014,10,1133
150040,2015,6,1133
150040,2016,1,1031
150040,2017,4,1132
150040,2018,11,1190
150040,2019,6,1194
150050,2012,16,693
150050,2013,9,754
150050,2014,8,801
150050,2015,5,797
150050,2016,9,739
150050,2017,12,745
150050,2018,21,780
150050,2019,4,779
150060,2012,32,2105
150060,2013,99,2529
150060,2014,158,2866
150060,2015,102,2991
150060,2016,78,2846
150060,2017,69,2487
150060,2018,77,2568
150060,2019,103,2371
150070,2012,2,751
150070,2013,1,736
150070,2014,3,737
150070,2015,10,742
150070,2016,5,819
150070,2017,3,855
150070,2018,1,871
150070,2019,0,837
150080,2012,81,8195
150080,2013,67,8035
150080,2014,94,8282
150080,2015,80,8397
150080,2016,79,8011
150080,2017,106,7940
150080,2018,144,7772
150080,2019,121,7408
150085,2012,27,530
150085,2013,40,531
150085,2014,44,542
150085,2015,59,600
150085,2016,25,575
150085,2017,20,630
150085,2018,28,656
150085,2019,11,652
150090,2012,9,965
150090,2013,5,1050
150090,2014,0,990
150090,2015,0,954
150090,2016,0,954
150090,2017,2,935
150090,2018,3,901
150090,2019,1,809
150095,2012,15,372
150095,2013,43,418
150095,2014,39,472
150095,2015,12,440
150095,2016,9,395
150095,2017,6,401
150095,2018,21,368
150095,2019,13,425
150100,2012,0,206
150100,2013,3,215
150100,2014,3,194
150100,2015,0,198
150100,2016,2,205
150100,2017,0,160
150100,2018,2,182
150100,2019,0,146
150110,2012,5,465
150110,2013,7,460
150110,2014,26,548
150110,2015,32,556
150110,2016,31,562
150110,2017,28,553
150110,2018,23,582
150110,2019,24,549
150120,2012,36,538
150120,2013,38,532
150120,2014,61,578
150120,2015,46,575
150120,2016,41,567
