CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total
130210,2015,39,169
130210,2016,40,150
130210,2017,31,161
130210,2018,36,151
130210,2019,26,121
130220,2012,20,171
130220,2013,26,202
130220,2014,17,193
130220,2015,32,217
130220,2016,24,175
130220,2017,27,253
130220,2018,33,251
130220,2019,27,235
130230,2012,126,601
130230,2013,156,629
130230,2014,61,631
130230,2015,94,633
130230,2016,92,604
130230,2017,163,659
130230,2018,189,648
130230,2019,212,646
130240,2012,102,682
130240,2013,113,728
130240,2014,105,715
130240,2015,78,659
130240,2016,79,652
130240,2017,112,741
130240,2018,205,779
130240,2019,196,892
130250,2012,15,1886
130250,2013,11,2000
130250,2014,10,2130
130250,2015,16,2070
130250,2016,10,1795
130250,2017,17,1938
130250,2018,12,2056
130250,2019,14,2115
130255,2012,11,250
130255,2013,5,249
130255,2014,6,233
130255,2015,11,234
130255,2016,4,253
130255,2017,3,300
130255,2018,3,303
130255,2019,5,276
130260,2012,56,41169
130260,2013,60,41640
130260,2014,50,42809
130260,2015,42,42342
130260,2016,39,39603
130260,2017,114,38498
130260,2018,113,38588
130260,2019,132,37939
130270,2012,75,810
130270,2013,79,850
130270,2014,75,903
130270,2015,89,930
130270,2016,103,911
130270,2017,102,989
130270,2018,115,1013
130270,2019,107,1023
130280,2012,37,313
130280,2013,51,338
130280,2014,56,399
130280,2015,52,323
130280,2016,56,358
130280,2017,59,418
130280,2018,56,405
130280,2019,43,381
130290,2012,211,1311
130290,2013,201,1317
130290,2014,179,1362
130290,2015,189,1335
130290,2016,188,1273
130290,2017,250,1553
130290,2018,302,1581
130290,2019,259,1539
130300,2012,26,344
130300,2013,20,301
130300,2014,25,357
130300,2015,34,356
130300,2016,18,338
130300,2017,31,358
130300,2018,12,314
130300,2019,15,346
130310,2012,11,591
130310,2013,14,628
130310,2014,12,619
130310,2015,14,593
130310,2016,19,587
130310,2017,15,592
130310,2018,46,612
130310,2019,29,546
130320,2012,6,257
130320,2013,13,246
130320,2014,6,307
130320,2015,26,316
130320,2016,21,289
130320,2017,22,333
130320,2018,8,327
130320,2019,5,310
130330,2012,0,321
130330,2013,3,351
130330,2014,2,344
130330,2015,0,409
130330,2016,1,386
130330,2017,2,406
130330,2018,1,379
130330,2019,0,392
130340,2012,43,2021
130340,2013,42,2133
130340,2014,42,2056
130340,2015,59,1995
130340,2016,52,1932
130340,2017,68,2139
130340,2018,44,2067
130340,2019,29,1947
130350,2012,53,308
130350,2013,71,367
130350,2014,95,364
130350,2015,110,374
130350,2016,97,348
130350,2017,107,355
130350,2018,106,362
130350,2019,119,369
130353,2012,1,556
130353,2013,2,580
130353,2014,1,585
130353,2015,0,558
130353,2016,0,548
130353,2017,0,523
130353,2018,2,558
130353,2019,5,513
130356,2012,2,361
130356,2013,2,374
130356,2014,2,412
130356,2015,3,391
130356,2016,1,415
130356,2017,3,422
130356,2018,5,431
130356,2019,2,440
130360,2012,237,344
130360,2013,219,279
130360,2014,202,225
130360,2015,281,301
130360,2016,276,305
130360,2017,358,370
130360,2018,350,372
130360,2019,311,322
130370,2012,234,603
130370,2013,249,576
130370,2014,250,652
130370,2015,307,718
130370,2016,287,693
130370,2017,310,724
130370,2018,309,704
130370,2019,368,773
130380,2012,1046,1119
130380,2013,1081,1143
130380,2014,1211,1254
130380,2015,1080,1120
130380,2016,1227,1255
130380,2017,1188,1214
130380,2018,1172,1227
130380,2019,1359,1436
130390,2012,564,959
130390,2013,517,914
130390,2014,564,987
130390,2015,337,753
130390,2016,605,871
130390,2017,716,999
130390,2018,653,935
130390,2019,725,956
130395,2012,0,178
130395,2013,0,160
130395,2014,0,163
130395,2015,0,180
130395,2016,1,178
130395,2017,1,206
130395,2018,1,186
130395,2019,1,200
130400,2012,0,181
130400,2013,1,208
130400,2014,0,180
130400,2015,0,202
130400,2016,0,208
130400,2017,1,246
130400,2018,0,197
130400,2019,1,229
130406,2012,670,1632
130406,2013,658,1619
130406,2014,754,1820
130406,2015,558,1615
130406,2016,736,1753
130406,2017,722,1701
130406,2018,767,1685
130406,2019,853,1770
130410,2012,42,401
130410,2013,49,421
130410,2014,66,391
130410,2015,74,439
130410,2016,55,389
130410,2017,63,405
130410,2018,92,394
130410,2019,108,432
130420,2012,37,1558
130420,2013,41,1732
130420,2014,107,1589
130420,2015,148,1754
130420,2016,142,1679
130420,2017,210,1763
130420,2018,213,1822
130420,2019,226,1927
130423,2012,115,348
130423,2013,109,322
130423,2014,142,366
130423,2015,140,391
130423,2016,76,363
130423,2017,131,458
130423,2018,149,435
130423,2019,129,429
130426,2012,14,288
130426,2013,18,304
130426,2014,16,302
130426,2015,38,295
130426,2016,38,264
130426,2017,35,333
130426,2018,13,286
130426,2019,31,351
130430,2012,6,298
130430,2013,2,302
130430,2014,4,284
130430,2015,2,272
130430,2016,5,265
130430,2017,1,270
130430,2018,3,261
130430,2019,5,318
130440,2012,0,321
130440,2013,0,325
130440,2014,0,329
130440,2015,1,282
130440,2016,0,299
130440,2017,0,315
130440,2018,0,313
130440,2019,1,321
140000,2012,0,2
140000,2013,4,8
140000,2014,0,7
140000,2015,1,3
140000,2016,1,1
140000,2018,0,1
140002,2012,240,308
140002,2013,240,307
140002,2014,213,298
140002,2015,239,339
140002,2016,266,331
140002,2017,256,355
140002,2018,318,433
140002,2019,330,446
140005,2012,464,600
140005,2013,451,601
140005,2014,415,563
140005,2015,428,550
140005,2016,498,620
140005,2017,395,526
140005,2018,587,737
140005,2019,542,711
140010,2012,310,6358
140010,2013,302,6350
140010,2014,189,6755
140010,2015,287,6719
140010,2016,412,6749
140010,2017,291,7043
140010,2018,387,8163
140010,2019,485,8936
140015,2012,180,312
140015,2013,175,327
140015,2014,169,325
140015,2015,211,355
140015,2016,211,365
140015,2017,215,377
140015,2018,238,391
140015,2019,288,470
140017,2012,103,315
140017,2013,124,335
140017,2014,110,362
140017,2015,109,327
140017,2016,127,315
140017,2017,98,352
140017,2018,121,337
140017,2019,143,385
140020,2012,68,425
140020,2013,78,424
140020,2014,54,393
140020,2015,64,414
140020,2016,63,381
140020,2017,56,407
140020,2018,71,406
140020,2019,61,445
140023,2012,17,138
140023,2013,16,151
140023,2014,13,154
140023,2015,9,139
140023,2016,16,145
140023,2017,21,183
140023,2018,17,181
140023,2019,18,204
140028,2012,52,173
140028,2013,39,147
140028,2014,45,156
140028,2015,49,169
140028,2016,34,138
140028,2017,33,154
140028,2018,40,138
140028,2019,44,185
140030,2012,31,270
140030,2013,41,351
140030,2014,22,299
140030,2015,43,341
140030,2016,34,308
140030,2017,34,309
140030,2018,43,325
140030,2019,50,372
140040,2012,265,319
140040,2013,333,381
140040,2014,297,376
140040,2015,352,442
140040,2016,356,428
140040,2017,337,415
140040,2018,411,463
140040,2019,409,489
140045,2012,246,327
140045,2013,255,351
140045,2014,224,340
140045,2015,250,361
140045,2016,239,357
140045,2017,234,380
140045,2018,285,423
140045,2019,301,556
140047,2012,7,422
140047,2013,9,422
140047,2014,3,442
140047,2015,5,527
140047,2016,3,542
140047,2017,4,563
140047,2018,5,628
140047,2019,8,567
140050,2012,0,116
140050,2013,8,120
140050,2014,6,117
140050,2015,6,117
140050,2016,5,104
140050,2017,12,122
140050,2018,3,119
140050,2019,7,131
140060,2012,2,84
140060,2013,10,80
140060,2014,4,67
140060,2015,3,91
140060,2016,4,83
140060,2017,11,106
140060,2018,7,86
140060,2019,5,107
140070,2012,413,432
140070,2013,443,459
140070,2014,411,466
140070,2015,477,518
140070,2016,489,509
140070,2017,409,445
140070,2018,484,513
140070,2019,577,616
150000,2012,0,4
150000,2013,0,8
150000,2014,0,2
150000,2015,0,2
150000,2016,0,2
150000,2017,0,2
150000,2018,0,1
150000,2019,0,3
150010,2012,2,2530
150010,2013,0,2538
150010,2014,0,2705
150010,2015,2,2660
150010,2016,0,2532
150010,2017,1,2713
150010,2018,0,2671
150010,2019,0,2623
150013,2012,0,114
150013,2013,0,129
150013,2014,0,100
150013,2015,1,143
150013,2016,0,117
150013,2017,1,142
150013,2018,0,130
150013,2019,0,132
150020,2012,1,966
150020,2013,0,1039
150020,2014,0,1116
150020,2015,1,936
150020,2016,0,996
150020,2017,0,992
150020,2018,0,1013
150020,2019,0,980
150030,2012,1,805
150030,2013,0,788
150030,2014,0,806
150030,2015,0,871
150030,2016,2,911
150030,2017,1,968
150030,2018,1,1022
150030,2019,0,1014
150034,2012,0,164
150034,2013,0,190
150034,2014,0,182
150034,2015,0,199
150034,2016,1,163
150034,2017,0,215
150034,2018,1,223
150034,2019,0,225
150040,2012,0,1138
150040,2013,0,1126
150040,2014,0,1133
150040,2015,0,1133
150040,2016,0,1031
150040,2017,0,1132
150040,2018,0,1190
150040,2019,1,1194
150050,2012,8,693
150050,2013,10,754
150050,2014,38,801
150050,2015,38,797
150050,2016,35,739
150050,2017,38,745
150050,2018,34,780
150050,2019,48,779
150060,2012,65,2105
150060,2013,132,2529
150060,2014,145,2866
150060,2015,145,2991
150060,2016,131,2846
150060,2017,148,2487
150060,2018,165,2568
150060,2019,143,2371
150070,2012,1,751
150070,2013,0,736
150070,2014,0,737
150070,2015,0,742
150070,2016,0,819
150070,2017,0,855
150070,2018,1,871
150070,2019,0,837
150080,2012,8,8195
150080,2013,9,8035
150080,2014,16,8282
