CODMUNRES,ano_nasc,Qtd_Robson10,Qtd_Robson9,Qtd_Robson8,Qtd_Robson7,Qtd_Robson6,Qtd_Robson5,Qtd_Robson4,Qtd_Robson3,Qtd_Robson2,Qtd_Robson1,Qtd_cesariana,Qtd_Total
210860,2016,35.0,2.0,2.0,20.0,15.0,143.0,22.0,50.0,42.0,166.0,497.0,1461
210860,2017,47.0,4.0,11.0,14.0,11.0,155.0,33.0,73.0,55.0,148.0,560.0,1619
210860,2018,58.0,1.0,14.0,14.0,23.0,172.0,42.0,96.0,71.0,162.0,656.0,1637
210860,2019,63.0,4.0,17.0,11.0,13.0,159.0,50.0,105.0,82.0,147.0,654.0,1531
210870,2012,26.0,0.0,6.0,6.0,2.0,81.0,12.0,7.0,28.0,30.0,212.0,467
210870,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,505
210870,2014,31.0,1.0,5.0,3.0,6.0,79.0,23.0,19.0,42.0,36.0,249.0,504
210870,2015,10.0,1.0,5.0,3.0,6.0,74.0,39.0,21.0,46.0,29.0,235.0,489
210870,2016,15.0,0.0,1.0,6.0,4.0,58.0,28.0,16.0,57.0,32.0,222.0,425
210870,2017,8.0,0.0,4.0,6.0,2.0,46.0,12.0,19.0,18.0,52.0,173.0,391
210870,2018,27.0,1.0,0.0,2.0,7.0,64.0,20.0,20.0,34.0,58.0,235.0,419
210870,2019,8.0,1.0,8.0,9.0,5.0,74.0,14.0,22.0,20.0,62.0,223.0,426
210880,2012,15.0,15.0,4.0,10.0,2.0,36.0,6.0,3.0,3.0,18.0,131.0,309
210880,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,305
210880,2014,6.0,1.0,2.0,3.0,2.0,30.0,1.0,17.0,4.0,31.0,104.0,269
210880,2015,9.0,2.0,0.0,8.0,4.0,50.0,5.0,18.0,9.0,51.0,162.0,331
210880,2016,12.0,2.0,6.0,7.0,1.0,37.0,5.0,16.0,7.0,38.0,131.0,280
210880,2017,16.0,2.0,3.0,2.0,1.0,42.0,1.0,19.0,12.0,42.0,142.0,268
