CODMUNRES,Ano,Qtd_Morte_Materna,Qtd_Total,Ratio
120045,2013,0.0,425.0,0.0
120045,2014,0.0,453.0,0.0
120045,2015,1.0,402.0,248.75621890547262
120045,2016,0.0,400.0,0.0
120045,2017,0.0,391.0,0.0
120045,2018,1.0,472.0,211.864406779661
120045,2019,0.0,421.0,0.0
120050,2012,0.0,929.0,0.0
120050,2013,0.0,904.0,0.0
120050,2014,0.0,827.0,0.0
120050,2015,0.0,844.0,0.0
120050,2016,0.0,757.0,0.0
120050,2017,0.0,790.0,0.0
120050,2018,0.0,788.0,0.0
120050,2019,1.0,748.0,133.6898395721925
120060,2012,0.0,1158.0,0.0
120060,2013,2.0,1138.0,175.7469244288225
120060,2014,0.0,1230.0,0.0
120060,2015,0.0,1188.0,0.0
120060,2016,1.0,1100.0,90.9090909090909
120060,2017,0.0,1128.0,0.0
120060,2018,1.0,1169.0,85.5431993156544
120060,2019,1.0,1133.0,88.261253309797
120070,2012,0.0,311.0,0.0
120070,2013,0.0,294.0,0.0
120070,2014,0.0,306.0,0.0
120070,2015,0.0,312.0,0.0
120070,2016,0.0,319.0,0.0
120070,2017,1.0,320.0,312.5
120070,2018,0.0,317.0,0.0
120070,2019,0.0,296.0,0.0
120080,2012,0.0,346.0,0.0
120080,2013,0.0,362.0,0.0
120080,2014,0.0,368.0,0.0
120080,2015,0.0,291.0,0.0
120080,2016,1.0,294.0,340.1360544217687
120080,2017,0.0,396.0,0.0
120080,2018,0.0,359.0,0.0
120080,2019,0.0,327.0,0.0
130000,2012,0.0,8.0,0.0
130000,2013,0.0,18.0,0.0
130000,2014,0.0,23.0,0.0
130000,2015,0.0,18.0,0.0
130000,2016,0.0,25.0,0.0
130000,2017,0.0,17.0,0.0
130000,2018,0.0,25.0,0.0
130000,2019,0.0,12.0,0.0
130002,2012,0.0,320.0,0.0
130002,2013,1.0,346.0,289.01734104046244
130002,2014,0.0,308.0,0.0
130002,2015,0.0,528.0,0.0
130002,2016,0.0,584.0,0.0
130002,2017,0.0,424.0,0.0
130002,2018,0.0,369.0,0.0
130002,2019,0.0,464.0,0.0
130006,2012,1.0,242.0,413.22314049586777
130006,2013,0.0,261.0,0.0
130006,2014,0.0,264.0,0.0
130006,2015,0.0,313.0,0.0
130006,2016,0.0,321.0,0.0
130006,2017,0.0,284.0,0.0
130006,2018,0.0,266.0,0.0
130006,2019,0.0,293.0,0.0
130008,2012,0.0,199.0,0.0
130008,2013,0.0,201.0,0.0
130008,2014,1.0,212.0,471.6981132075471
130008,2015,0.0,211.0,0.0
130008,2016,1.0,220.0,454.5454545454545
130008,2017,0.0,235.0,0.0
130008,2018,0.0,252.0,0.0
130008,2019,0.0,223.0,0.0
130010,2012,0.0,247.0,0.0
130010,2013,0.0,285.0,0.0
130010,2014,0.0,267.0,0.0
130010,2015,0.0,270.0,0.0
130010,2016,1.0,289.0,346.02076124567475
130010,2017,0.0,265.0,0.0
130010,2018,1.0,256.0,390.625
130010,2019,0.0,243.0,0.0
