CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total,Ratio
120060,2012,79.0,1158,0.06822107081174439
120060,2013,84.0,1138,0.07381370826010544
120060,2014,124.0,1230,0.1008130081300813
120060,2015,112.0,1165,0.096137339055794
120060,2016,102.0,1078,0.09461966604823747
120060,2017,128.0,1132,0.11307420494699646
120060,2018,136.0,1193,0.11399832355406538
120060,2019,147.0,1143,0.12860892388451445
120060,2020,128.0,1161,0.11024978466838932
120070,2012,0.0,311,0.0
120070,2013,0.0,294,0.0
120070,2014,0.0,306,0.0
120070,2015,0.0,322,0.0
120070,2016,0.0,329,0.0
120070,2017,0.0,305,0.0
120070,2018,0.0,325,0.0
120070,2019,0.0,297,0.0
120070,2020,0.0,316,0.0
120080,2012,0.0,346,0.0
120080,2013,1.0,362,0.0027624309392265192
120080,2014,1.0,368,0.002717391304347826
120080,2015,0.0,358,0.0
120080,2016,3.0,356,0.008426966292134831
120080,2017,1.0,430,0.002325581395348837
120080,2018,1.0,392,0.002551020408163265
120080,2019,0.0,379,0.0
120080,2020,2.0,361,0.00554016620498615
130000,2012,0.0,8,0.0
130000,2013,1.0,18,0.05555555555555555
130000,2014,0.0,23,0.0
130000,2015,0.0,18,0.0
130000,2016,7.0,25,0.28
130000,2017,2.0,17,0.11764705882352941
130000,2018,0.0,25,0.0
130000,2019,0.0,12,0.0
130000,2020,0.0,41,0.0
130002,2012,24.0,320,0.075
130002,2013,38.0,346,0.10982658959537572
130002,2014,40.0,308,0.12987012987012986
130002,2015,44.0,342,0.1286549707602339
130002,2016,68.0,325,0.20923076923076922
130002,2017,71.0,401,0.1770573566084788
130002,2018,54.0,346,0.15606936416184972
130002,2019,65.0,418,0.15550239234449761
130002,2020,83.0,397,0.20906801007556675
130006,2012,135.0,242,0.5578512396694215
130006,2013,150.0,261,0.5747126436781609
130006,2014,153.0,264,0.5795454545454546
130006,2015,77.0,214,0.3598130841121495
130006,2016,159.0,280,0.5678571428571428
130006,2017,150.0,267,0.5617977528089888
130006,2018,150.0,247,0.6072874493927125
130006,2019,208.0,265,0.7849056603773585
130006,2020,203.0,265,0.7660377358490567
130008,2012,13.0,199,0.06532663316582915
130008,2013,16.0,201,0.07960199004975124
130008,2014,23.0,212,0.10849056603773585
130008,2015,8.0,163,0.049079754601226995
130008,2016,15.0,182,0.08241758241758242
130008,2017,17.0,196,0.08673469387755102
130008,2018,12.0,214,0.056074766355140186
130008,2019,15.0,190,0.07894736842105263
130008,2020,16.0,228,0.07017543859649122
130010,2012,0.0,247,0.0
130010,2013,2.0,285,0.007017543859649123
130010,2014,0.0,267,0.0
130010,2015,0.0,255,0.0
130010,2016,0.0,266,0.0
130010,2017,0.0,257,0.0
130010,2018,0.0,247,0.0
130010,2019,0.0,233,0.0
130010,2020,0.0,258,0.0
130014,2012,0.0,195,0.0
130014,2013,3.0,223,0.013452914798206279
130014,2014,4.0,223,0.017937219730941704
130014,2015,2.0,204,0.00980392156862745
130014,2016,2.0,211,0.009478672985781991
130014,2017,2.0,233,0.008583690987124463
130014,2018,1.0,242,0.004132231404958678
130014,2019,7.0,239,0.029288702928870293
130014,2020,1.0,265,0.0037735849056603774
130020,2012,202.0,357,0.5658263305322129
130020,2013,168.0,354,0.4745762711864407
130020,2014,230.0,435,0.5287356321839081
130020,2015,207.0,439,0.4715261958997722
130020,2016,208.0,380,0.5473684210526316
130020,2017,193.0,382,0.5052356020942408
