CODMUNRES,Ano,OICFSI,OISFSI,ONI,Total,Indicador
110033,2012,11,0,0,11,100.0
110033,2013,4,0,0,4,100.0
110033,2014,8,0,0,8,100.0
110033,2015,2,0,0,2,100.0
110033,2016,0,0,7,7,0.0
110033,2017,5,0,1,6,83.33333333333334
110033,2018,7,0,0,7,100.0
110033,2019,4,0,0,4,100.0
110033,2020,12,0,1,13,92.3076923076923
110034,2012,5,0,0,5,100.0
110034,2013,3,0,1,4,75.0
110034,2014,4,0,0,4,100.0
110034,2015,7,0,0,7,100.0
110034,2016,7,0,0,7,100.0
110034,2017,3,0,1,4,75.0
110034,2018,4,0,0,4,100.0
110034,2019,6,0,0,6,100.0
110034,2020,5,0,0,5,100.0
110037,2012,9,0,0,9,100.0
110037,2013,4,0,0,4,100.0
110037,2014,5,0,0,5,100.0
110037,2015,3,0,0,3,100.0
110037,2016,5,0,0,5,100.0
110037,2017,1,0,0,1,100.0
110037,2018,2,0,0,2,100.0
110037,2019,2,0,0,2,100.0
110037,2020,7,0,0,7,100.0
110040,2012,4,0,0,4,100.0
110040,2013,4,0,0,4,100.0
110040,2014,3,0,0,3,100.0
110040,2015,10,0,1,11,90.9090909090909
110040,2016,3,0,0,3,100.0
110040,2017,4,0,0,4,100.0
110040,2018,8,0,1,9,88.88888888888889
110040,2019,2,0,0,2,100.0
110040,2020,4,0,0,4,100.0
110045,2012,9,0,1,10,90.0
110045,2013,3,1,2,6,66.66666666666666
110045,2014,16,0,0,16,100.0
110045,2015,15,0,0,15,100.0
110045,2016,10,0,0,10,100.0
110045,2017,7,0,0,7,100.0
