CODMUNRES,ano_nasc,Qtd_2Parto,Qtd_Total,Ratio
110110,2017,48.0,95,0.5052631578947369
110110,2018,55.0,92,0.5978260869565217
110110,2019,52.0,109,0.47706422018348627
110120,2012,74.0,100,0.74
110120,2013,81.0,104,0.7788461538461539
110120,2014,82.0,107,0.7663551401869159
110120,2015,67.0,93,0.7204301075268817
110120,2016,73.0,93,0.7849462365591398
110120,2017,83.0,100,0.83
110120,2018,69.0,92,0.75
110120,2019,73.0,84,0.8690476190476191
110130,2012,106.0,148,0.7162162162162162
110130,2013,85.0,122,0.6967213114754098
110130,2014,96.0,137,0.7007299270072993
110130,2015,139.0,179,0.776536312849162
110130,2016,117.0,148,0.7905405405405406
110130,2017,122.0,156,0.782051282051282
110130,2018,123.0,160,0.76875
110130,2019,120.0,164,0.7317073170731707
110140,2012,115.0,170,0.6764705882352942
110140,2013,158.0,223,0.7085201793721974
110140,2014,165.0,204,0.8088235294117647
110140,2015,182.0,240,0.7583333333333333
110140,2016,128.0,173,0.7398843930635838
110140,2017,148.0,200,0.74
110140,2018,153.0,220,0.6954545454545454
110140,2019,144.0,199,0.7236180904522613
110143,2012,79.0,99,0.797979797979798
110143,2013,58.0,82,0.7073170731707317
110143,2014,93.0,110,0.8454545454545455
110143,2015,54.0,73,0.7397260273972602
110143,2016,63.0,90,0.7
110143,2017,78.0,94,0.8297872340425532
110143,2018,70.0,87,0.8045977011494253
110143,2019,83.0,104,0.7980769230769231
110145,2012,49.0,63,0.7777777777777778
110145,2013,47.0,55,0.8545454545454545
110145,2014,38.0,49,0.7755102040816326
110145,2015,49.0,54,0.9074074074074074
110145,2016,44.0,50,0.88
110145,2017,45.0,51,0.8823529411764706
110145,2018,50.0,53,0.9433962264150944
110145,2019,38.0,44,0.8636363636363636
110146,2012,39.0,51,0.7647058823529411
110146,2013,26.0,42,0.6190476190476191
110146,2014,27.0,37,0.7297297297297297
110146,2015,35.0,52,0.6730769230769231
110146,2016,26.0,34,0.7647058823529411
110146,2017,38.0,52,0.7307692307692307
110146,2018,38.0,52,0.7307692307692307
110146,2019,23.0,40,0.575
110147,2012,33.0,43,0.7674418604651163
110147,2013,32.0,39,0.8205128205128205
110147,2014,43.0,47,0.9148936170212766
110147,2015,34.0,40,0.85
110147,2016,48.0,56,0.8571428571428571
110147,2017,59.0,63,0.9365079365079365
110147,2018,34.0,38,0.8947368421052632
110147,2019,40.0,43,0.9302325581395349
110148,2012,55.0,64,0.859375
110148,2013,51.0,61,0.8360655737704918
110148,2014,48.0,59,0.8135593220338984
110148,2015,58.0,73,0.7945205479452054
110148,2016,48.0,54,0.8888888888888888
110148,2017,54.0,75,0.72
110148,2018,52.0,54,0.9629629629629629
110148,2019,48.0,54,0.8888888888888888
110149,2012,176.0,246,0.7154471544715447
110149,2013,210.0,266,0.7894736842105263
110149,2014,241.0,308,0.7824675324675324
110149,2015,256.0,319,0.8025078369905956
110149,2016,238.0,305,0.780327868852459
110149,2017,262.0,333,0.7867867867867868
110149,2018,249.0,327,0.7614678899082569
110149,2019,219.0,303,0.7227722772277227
110150,2012,151.0,190,0.7947368421052632
110150,2013,142.0,184,0.7717391304347826
110150,2014,137.0,170,0.8058823529411765
110150,2015,151.0,188,0.8031914893617021
110150,2016,135.0,171,0.7894736842105263
110150,2017,134.0,188,0.7127659574468085
110150,2018,116.0,154,0.7532467532467533
110150,2019,135.0,168,0.8035714285714286
110155,2012,45.0,57,0.7894736842105263
110155,2013,66.0,80,0.825
110155,2014,65.0,69,0.9420289855072463
110155,2015,57.0,71,0.8028169014084507
110155,2016,45.0,59,0.7627118644067796
110155,2017,44.0,58,0.7586206896551724
110155,2018,46.0,60,0.7666666666666667
110155,2019,53.0,64,0.828125
110160,2012,89.0,133,0.6691729323308271
110160,2013,71.0,106,0.6698113207547169
110160,2014,97.0,125,0.776
110160,2015,84.0,107,0.7850467289719626
110160,2016,103.0,131,0.7862595419847328
110160,2017,111.0,146,0.7602739726027398
110160,2018,103.0,131,0.7862595419847328
110160,2019,76.0,97,0.7835051546391752
110170,2012,96.0,146,0.6575342465753424
110170,2013,100.0,150,0.6666666666666666
110170,2014,91.0,122,0.7459016393442623
110170,2015,104.0,138,0.7536231884057971
110170,2016,114.0,151,0.7549668874172185
110170,2017,105.0,150,0.7
110170,2018,109.0,139,0.7841726618705036
110170,2019,137.0,170,0.8058823529411765
110175,2012,57.0,86,0.6627906976744186
110175,2013,60.0,89,0.6741573033707865
110175,2014,91.0,128,0.7109375
110175,2015,79.0,106,0.7452830188679245
110175,2016,74.0,110,0.6727272727272727
110175,2017,61.0,86,0.7093023255813954
110175,2018,59.0,91,0.6483516483516484
110175,2019,61.0,93,0.6559139784946236
110180,2012,66.0,83,0.7951807228915663
110180,2013,80.0,107,0.7476635514018691
110180,2014,74.0,90,0.8222222222222222
110180,2015,49.0,63,0.7777777777777778
110180,2016,76.0,98,0.7755102040816326
110180,2017,58.0,79,0.7341772151898734
110180,2018,71.0,95,0.7473684210526316
110180,2019,59.0,81,0.7283950617283951
120000,2012,0.0,1,0.0
120001,2012,86.0,253,0.33992094861660077
120001,2013,109.0,258,0.42248062015503873
120001,2014,97.0,269,0.36059479553903345
120001,2015,87.0,217,0.4009216589861751
120001,2016,93.0,222,0.4189189189189189
120001,2017,113.0,256,0.44140625
120001,2018,93.0,216,0.4305555555555556
120001,2019,128.0,257,0.4980544747081712
120005,2012,34.0,219,0.1552511415525114
120005,2013,52.0,213,0.24413145539906103
120005,2014,54.0,196,0.2755102040816326
120005,2015,65.0,238,0.27310924369747897
120005,2016,49.0,190,0.2578947368421053
120005,2017,65.0,248,0.2620967741935484
120005,2018,71.0,264,0.2689393939393939
120005,2019,70.0,266,0.2631578947368421
120010,2012,212.0,505,0.4198019801980198
120010,2013,214.0,530,0.4037735849056604
120010,2014,253.0,547,0.4625228519195612
120010,2015,270.0,531,0.5084745762711864
120010,2016,233.0,490,0.47551020408163264
120010,2017,253.0,570,0.443859649122807
120010,2018,278.0,540,0.5148148148148148
120010,2019,292.0,540,0.5407407407407407
120013,2012,56.0,198,0.2828282828282828
120013,2013,76.0,202,0.37623762376237624
120013,2014,90.0,242,0.371900826446281
120013,2015,92.0,248,0.3709677419354839
120013,2016,108.0,248,0.43548387096774194
120013,2017,143.0,307,0.46579804560260585
120013,2018,115.0,306,0.3758169934640523
120013,2019,148.0,329,0.44984802431610943
120017,2012,68.0,201,0.3383084577114428
120017,2013,73.0,193,0.37823834196891193
120017,2014,82.0,234,0.3504273504273504
120017,2015,80.0,219,0.365296803652968
120017,2016,70.0,194,0.36082474226804123
120017,2017,89.0,243,0.3662551440329218
120017,2018,78.0,222,0.35135135135135137
120017,2019,100.0,217,0.4608294930875576
120020,2012,668.0,1741,0.3836875358989087
120020,2013,784.0,1783,0.43970835670218733
120020,2014,797.0,1818,0.4383938393839384
120020,2015,760.0,1839,0.4132680804785209
120020,2016,749.0,1632,0.45894607843137253
120020,2017,818.0,1684,0.4857482185273159
120020,2018,802.0,1756,0.45671981776765375
120020,2019,887.0,1809,0.49032614704256494
120025,2012,118.0,282,0.41843971631205673
120025,2013,120.0,275,0.43636363636363634
120025,2014,140.0,262,0.5343511450381679
120025,2015,122.0,279,0.43727598566308246
120025,2016,129.0,270,0.4777777777777778
120025,2017,126.0,291,0.4329896907216495
120025,2018,134.0,273,0.4908424908424908
120025,2019,179.0,314,0.5700636942675159
120030,2012,117.0,904,0.12942477876106195
120030,2013,128.0,791,0.16182048040455121
120030,2014,145.0,829,0.17490952955367914
120030,2015,160.0,772,0.20725388601036268
120030,2016,191.0,834,0.2290167865707434
120030,2017,136.0,833,0.16326530612244897
120030,2018,173.0,833,0.20768307322929172
120030,2019,220.0,871,0.2525832376578645
120032,2012,9.0,269,0.03345724907063197
120032,2013,13.0,271,0.04797047970479705
120032,2014,34.0,282,0.12056737588652482
120032,2015,21.0,273,0.07692307692307693
120032,2016,20.0,263,0.07604562737642585
120032,2017,26.0,266,0.09774436090225563
120032,2018,38.0,274,0.1386861313868613
120032,2019,32.0,218,0.14678899082568808
120033,2012,111.0,386,0.28756476683937826
120033,2013,126.0,399,0.3157894736842105
120033,2014,152.0,413,0.36803874092009686
120033,2015,137.0,395,0.3468354430379747
120033,2016,105.0,325,0.3230769230769231
120033,2017,142.0,358,0.39664804469273746
120033,2018,152.0,367,0.4141689373297003
120033,2019,146.0,345,0.42318840579710143
120034,2012,49.0,256,0.19140625
120034,2013,52.0,229,0.22707423580786026
120034,2014,50.0,243,0.205761316872428
120034,2015,61.0,266,0.22932330827067668
120034,2016,60.0,236,0.2542372881355932
120034,2017,57.0,261,0.21839080459770116
120034,2018,44.0,252,0.1746031746031746
120034,2019,53.0,230,0.23043478260869565
120035,2012,57.0,474,0.12025316455696203
120035,2013,72.0,485,0.14845360824742268
120035,2014,69.0,458,0.15065502183406113
120035,2015,70.0,445,0.15730337078651685
120035,2016,61.0,352,0.17329545454545456
120035,2017,75.0,388,0.19329896907216496
120035,2018,75.0,407,0.18427518427518427
120035,2019,96.0,448,0.21428571428571427
120038,2012,98.0,353,0.2776203966005666
120038,2013,126.0,334,0.3772455089820359
120038,2014,105.0,322,0.32608695652173914
120038,2015,119.0,350,0.34
120038,2016,137.0,339,0.40412979351032446
120038,2017,126.0,305,0.4131147540983607
120038,2018,109.0,309,0.35275080906148865
120038,2019,147.0,318,0.46226415094339623
120039,2012,55.0,338,0.16272189349112426
120039,2013,33.0,287,0.11498257839721254
120039,2014,46.0,250,0.184
120039,2015,53.0,262,0.20229007633587787
120039,2016,68.0,230,0.2956521739130435
120039,2017,78.0,282,0.2765957446808511
120039,2018,65.0,254,0.2559055118110236
120039,2019,65.0,270,0.24074074074074073
120040,2012,2761.0,6531,0.4227530240391977
120040,2013,3341.0,7116,0.4695053400786959
120040,2014,3243.0,7011,0.46255883611467696
120040,2015,3337.0,6965,0.4791098348887294
120040,2016,3455.0,6614,0.5223767765346236
120040,2017,3284.0,6460,0.508359133126935
120040,2018,3218.0,6495,0.4954580446497306
120040,2019,3311.0,6324,0.5235610373181531
120042,2012,81.0,390,0.2076923076923077
120042,2013,105.0,363,0.2892561983471074
120042,2014,122.0,394,0.3096446700507614
120042,2015,125.0,396,0.31565656565656564
120042,2016,119.0,304,0.39144736842105265
120042,2017,125.0,366,0.34153005464480873
120042,2018,140.0,394,0.3553299492385787
120042,2019,130.0,334,0.38922155688622756
120043,2012,12.0,259,0.04633204633204633
120043,2013,23.0,223,0.1031390134529148
120043,2014,13.0,185,0.07027027027027027
120043,2015,14.0,150,0.09333333333333334
120043,2016,15.0,95,0.15789473684210525
120043,2017,12.0,198,0.06060606060606061
120043,2018,19.0,207,0.09178743961352658
120043,2019,22.0,186,0.11827956989247312
120045,2012,139.0,396,0.351010101010101
120045,2013,156.0,425,0.36705882352941177
120045,2014,181.0,453,0.3995584988962472
120045,2015,167.0,443,0.37697516930022573
120045,2016,180.0,410,0.43902439024390244
120045,2017,152.0,395,0.3848101265822785
120045,2018,218.0,476,0.4579831932773109
120045,2019,180.0,417,0.4316546762589928
120050,2012,360.0,929,0.38751345532831
120050,2013,339.0,904,0.375
120050,2014,295.0,827,0.3567110036275695
120050,2015,314.0,847,0.3707201889020071
120050,2016,285.0,762,0.37401574803149606
120050,2017,282.0,780,0.36153846153846153
120050,2018,291.0,788,0.36928934010152287
120050,2019,285.0,768,0.37109375
120060,2012,264.0,1158,0.22797927461139897
120060,2013,266.0,1138,0.23374340949033393
120060,2014,315.0,1230,0.25609756097560976
120060,2015,343.0,1165,0.2944206008583691
120060,2016,324.0,1078,0.300556586270872
120060,2017,351.0,1132,0.31007067137809186
120060,2018,454.0,1193,0.38055322715842416
120060,2019,458.0,1143,0.4006999125109361
120070,2012,72.0,311,0.2315112540192926
120070,2013,86.0,294,0.2925170068027211
120070,2014,92.0,306,0.3006535947712418
120070,2015,91.0,322,0.2826086956521739
120070,2016,111.0,329,0.3373860182370821
120070,2017,122.0,305,0.4
120070,2018,114.0,325,0.3507692307692308
120070,2019,110.0,297,0.37037037037037035
120080,2012,120.0,346,0.3468208092485549
120080,2013,142.0,362,0.39226519337016574
120080,2014,125.0,368,0.33967391304347827
120080,2015,143.0,358,0.3994413407821229
120080,2016,147.0,356,0.41292134831460675
120080,2017,186.0,430,0.4325581395348837
120080,2018,175.0,392,0.44642857142857145
120080,2019,173.0,379,0.45646437994722955
130000,2012,5.0,8,0.625
130000,2013,11.0,18,0.6111111111111112
130000,2014,5.0,23,0.21739130434782608
130000,2015,2.0,18,0.1111111111111111
130000,2016,11.0,25,0.44
130000,2017,5.0,17,0.29411764705882354
130000,2018,6.0,25,0.24
130000,2019,6.0,12,0.5
130002,2012,77.0,320,0.240625
130002,2013,98.0,346,0.2832369942196532
130002,2014,76.0,308,0.24675324675324675
130002,2015,68.0,342,0.19883040935672514
130002,2016,53.0,325,0.16307692307692306
130002,2017,88.0,401,0.2194513715710723
130002,2018,99.0,346,0.2861271676300578
130002,2019,103.0,418,0.24641148325358853
130006,2012,18.0,242,0.0743801652892562
130006,2013,25.0,261,0.09578544061302682
130006,2014,31.0,264,0.11742424242424243
130006,2015,28.0,214,0.1308411214953271
130006,2016,15.0,280,0.05357142857142857
130006,2017,18.0,267,0.06741573033707865
130006,2018,14.0,247,0.05668016194331984
130006,2019,24.0,265,0.09056603773584905
130008,2012,56.0,199,0.2814070351758794
130008,2013,55.0,201,0.2736318407960199
130008,2014,67.0,212,0.3160377358490566
130008,2015,46.0,163,0.2822085889570552
130008,2016,46.0,182,0.25274725274725274
130008,2017,52.0,196,0.2653061224489796
130008,2018,70.0,214,0.32710280373831774
130008,2019,76.0,190,0.4
130010,2012,82.0,247,0.3319838056680162
130010,2013,79.0,285,0.2771929824561403
130010,2014,84.0,267,0.3146067415730337
130010,2015,99.0,255,0.38823529411764707
130010,2016,94.0,266,0.3533834586466165
130010,2017,98.0,257,0.38132295719844356
130010,2018,85.0,247,0.3441295546558704
130010,2019,84.0,233,0.3605150214592275
130014,2012,61.0,195,0.3128205128205128
130014,2013,83.0,223,0.3721973094170404
130014,2014,86.0,223,0.38565022421524664
130014,2015,73.0,204,0.35784313725490197
130014,2016,97.0,211,0.4597156398104265
130014,2017,82.0,233,0.351931330472103
130014,2018,82.0,242,0.33884297520661155
130014,2019,106.0,239,0.4435146443514644
130020,2012,26.0,357,0.07282913165266107
130020,2013,31.0,354,0.08757062146892655
130020,2014,30.0,435,0.06896551724137931
130020,2015,54.0,439,0.12300683371298406
130020,2016,42.0,380,0.11052631578947368
130020,2017,52.0,382,0.13612565445026178
130020,2018,47.0,357,0.13165266106442577
130020,2019,24.0,313,0.07667731629392971
130030,2012,285.0,877,0.3249714937286203
130030,2013,266.0,877,0.3033067274800456
130030,2014,332.0,955,0.34764397905759165
130030,2015,254.0,829,0.30639324487334135
130030,2016,242.0,890,0.27191011235955054
130030,2017,249.0,897,0.27759197324414714
130030,2018,234.0,948,0.2468354430379747
130030,2019,200.0,872,0.22935779816513763
130040,2012,94.0,469,0.20042643923240938
130040,2013,90.0,480,0.1875
