CODMUNRES,ano_nasc,Qtd_mais_de_3parto,Qtd_Total,Ratio
120042,2020,64.0,347,0.1844380403458213
120043,2012,98.0,259,0.3783783783783784
120043,2013,48.0,223,0.21524663677130046
120043,2014,83.0,185,0.4486486486486487
120043,2015,52.0,150,0.3466666666666667
120043,2016,25.0,95,0.2631578947368421
120043,2017,47.0,198,0.23737373737373738
120043,2018,69.0,207,0.3333333333333333
120043,2019,63.0,186,0.3387096774193548
120043,2020,43.0,149,0.28859060402684567
120045,2012,47.0,396,0.11868686868686869
120045,2013,48.0,425,0.11294117647058824
120045,2014,64.0,453,0.141280353200883
120045,2015,58.0,443,0.1309255079006772
120045,2016,56.0,410,0.13658536585365855
120045,2017,55.0,395,0.13924050632911392
120045,2018,71.0,476,0.14915966386554622
120045,2019,46.0,417,0.11031175059952038
120045,2020,27.0,401,0.06733167082294264
120050,2012,167.0,929,0.1797631862217438
120050,2013,171.0,904,0.18915929203539822
120050,2014,101.0,827,0.12212817412333736
120050,2015,141.0,847,0.16646989374262103
120050,2016,111.0,762,0.14566929133858267
120050,2017,97.0,780,0.12435897435897436
120050,2018,82.0,788,0.10406091370558376
120050,2019,85.0,768,0.11067708333333333
120050,2020,78.0,668,0.11676646706586827
120060,2012,322.0,1158,0.27806563039723664
120060,2013,210.0,1138,0.18453427065026362
120060,2014,273.0,1230,0.22195121951219512
120060,2015,267.0,1165,0.22918454935622318
120060,2016,217.0,1078,0.2012987012987013
120060,2017,225.0,1132,0.19876325088339222
120060,2018,223.0,1193,0.18692372170997484
120060,2019,187.0,1143,0.16360454943132108
120060,2020,203.0,1161,0.1748492678725237
120070,2012,41.0,311,0.13183279742765272
120070,2013,47.0,294,0.1598639455782313
120070,2014,36.0,306,0.11764705882352941
120070,2015,41.0,322,0.12732919254658384
120070,2016,42.0,329,0.1276595744680851
120070,2017,36.0,305,0.1180327868852459
120070,2018,40.0,325,0.12307692307692308
120070,2019,37.0,297,0.12457912457912458
120070,2020,26.0,316,0.08227848101265822
120080,2012,51.0,346,0.14739884393063585
120080,2013,39.0,362,0.10773480662983426
120080,2014,51.0,368,0.13858695652173914
