CODMUNRES,ano_nasc,Qtd_Nascimentos_Prematuros,Qtd_Total,Ratio
120005,2018,21.0,264,0.07954545454545454
120005,2019,27.0,266,0.10150375939849623
120005,2020,35.0,215,0.16279069767441862
120010,2012,75.0,505,0.1485148514851485
120010,2013,76.0,530,0.14339622641509434
120010,2014,81.0,547,0.1480804387568556
120010,2015,65.0,531,0.1224105461393597
120010,2016,69.0,490,0.14081632653061224
120010,2017,70.0,570,0.12280701754385964
120010,2018,61.0,540,0.11296296296296296
120010,2019,55.0,540,0.10185185185185185
120010,2020,85.0,527,0.16129032258064516
120013,2012,28.0,198,0.1414141414141414
120013,2013,29.0,202,0.14356435643564355
120013,2014,25.0,242,0.10330578512396695
120013,2015,31.0,248,0.125
120013,2016,30.0,248,0.12096774193548387
120013,2017,39.0,307,0.1270358306188925
120013,2018,53.0,306,0.17320261437908496
120013,2019,52.0,329,0.1580547112462006
120013,2020,41.0,241,0.17012448132780084
120017,2012,36.0,201,0.1791044776119403
120017,2013,32.0,193,0.16580310880829016
120017,2014,41.0,234,0.1752136752136752
120017,2015,20.0,219,0.091324200913242
120017,2016,26.0,194,0.13402061855670103
120017,2017,25.0,243,0.102880658436214
120017,2018,48.0,222,0.21621621621621623
120017,2019,26.0,217,0.11981566820276497
120017,2020,29.0,190,0.15263157894736842
120020,2012,239.0,1741,0.1372774267662263
120020,2013,194.0,1783,0.10880538418395962
120020,2014,242.0,1818,0.1331133113311331
120020,2015,261.0,1839,0.14192495921696574
120020,2016,235.0,1632,0.14399509803921567
120020,2017,241.0,1684,0.14311163895486936
120020,2018,258.0,1756,0.1469248291571754
120020,2019,225.0,1809,0.12437810945273632
120020,2020,252.0,1691,0.14902424600827913
120025,2012,41.0,282,0.1453900709219858
120025,2013,28.0,275,0.10181818181818182
120025,2014,41.0,262,0.15648854961832062
120025,2015,32.0,279,0.11469534050179211
120025,2016,32.0,270,0.11851851851851852
120025,2017,35.0,291,0.12027491408934708
120025,2018,36.0,273,0.13186813186813187
120025,2019,42.0,314,0.1337579617834395
120025,2020,43.0,293,0.14675767918088736
120030,2012,119.0,904,0.13163716814159293
120030,2013,84.0,791,0.10619469026548672
120030,2014,73.0,829,0.08805790108564536
120030,2015,87.0,772,0.11269430051813471
120030,2016,92.0,834,0.11031175059952038
120030,2017,71.0,833,0.08523409363745499
120030,2018,97.0,833,0.11644657863145258
120030,2019,97.0,871,0.1113662456946039
120030,2020,84.0,789,0.10646387832699619
120032,2012,35.0,269,0.13011152416356878
120032,2013,40.0,271,0.14760147601476015
120032,2014,40.0,282,0.14184397163120568
120032,2015,30.0,273,0.10989010989010989
120032,2016,37.0,263,0.14068441064638784
120032,2017,49.0,266,0.18421052631578946
120032,2018,42.0,274,0.15328467153284672
120032,2019,34.0,218,0.1559633027522936
120032,2020,24.0,205,0.11707317073170732
120033,2012,32.0,386,0.08290155440414508
120033,2013,44.0,399,0.11027568922305764
120033,2014,34.0,413,0.08232445520581114
120033,2015,39.0,395,0.09873417721518987
120033,2016,47.0,325,0.14461538461538462
120033,2017,38.0,358,0.10614525139664804
120033,2018,50.0,367,0.1362397820163488
120033,2019,48.0,345,0.1391304347826087
120033,2020,56.0,420,0.13333333333333333
120034,2012,48.0,256,0.1875
120034,2013,20.0,229,0.08733624454148471
120034,2014,36.0,243,0.14814814814814814
120034,2015,38.0,266,0.14285714285714285
120034,2016,40.0,236,0.1694915254237288
120034,2017,47.0,261,0.18007662835249041
120034,2018,43.0,252,0.17063492063492064
120034,2019,30.0,230,0.13043478260869565
120034,2020,51.0,280,0.18214285714285713
120035,2012,62.0,474,0.1308016877637131
120035,2013,47.0,485,0.09690721649484536
120035,2014,56.0,458,0.1222707423580786
120035,2015,50.0,445,0.11235955056179775
120035,2016,36.0,352,0.10227272727272728
