CODMUNRES,Ano,Qtd_Morte_Materna_Direta,Qtd_Total,Ratio
120080,2016,1.0,356,280.8988764044944
120080,2017,0.0,430,0.0
120080,2018,0.0,392,0.0
120080,2019,0.0,379,0.0
130000,2012,0.0,8,0.0
130000,2013,0.0,18,0.0
130000,2014,0.0,23,0.0
130000,2015,0.0,18,0.0
130000,2016,0.0,25,0.0
130000,2017,0.0,17,0.0
130000,2018,0.0,25,0.0
130000,2019,0.0,12,0.0
130002,2012,0.0,320,0.0
130002,2013,1.0,346,289.01734104046244
130002,2014,0.0,308,0.0
130002,2015,0.0,342,0.0
130002,2016,0.0,325,0.0
130002,2017,0.0,401,0.0
130002,2018,0.0,346,0.0
130002,2019,0.0,418,0.0
130006,2012,1.0,242,413.22314049586777
130006,2013,0.0,261,0.0
130006,2014,0.0,264,0.0
130006,2015,0.0,214,0.0
130006,2016,0.0,280,0.0
130006,2017,0.0,267,0.0
130006,2018,0.0,247,0.0
130006,2019,0.0,265,0.0
130008,2012,0.0,199,0.0
130008,2013,0.0,201,0.0
130008,2014,1.0,212,471.6981132075471
130008,2015,0.0,163,0.0
130008,2016,0.0,182,0.0
130008,2017,0.0,196,0.0
130008,2018,0.0,214,0.0
130008,2019,0.0,190,0.0
130010,2012,0.0,247,0.0
130010,2013,0.0,285,0.0
130010,2014,0.0,267,0.0
130010,2015,0.0,255,0.0
130010,2016,1.0,266,375.9398496240601
130010,2017,0.0,257,0.0
130010,2018,0.0,247,0.0
130010,2019,0.0,233,0.0
130014,2012,0.0,195,0.0
130014,2013,0.0,223,0.0
130014,2014,0.0,223,0.0
130014,2015,0.0,204,0.0
130014,2016,0.0,211,0.0
130014,2017,0.0,233,0.0
130014,2018,0.0,242,0.0
130014,2019,0.0,239,0.0
130020,2012,0.0,357,0.0
130020,2013,0.0,354,0.0
130020,2014,1.0,435,229.88505747126436
130020,2015,0.0,439,0.0
130020,2016,0.0,380,0.0
130020,2017,1.0,382,261.7801047120419
130020,2018,1.0,357,280.1120448179272
130020,2019,0.0,313,0.0
130030,2012,0.0,877,0.0
130030,2013,0.0,877,0.0
130030,2014,1.0,955,104.71204188481677
130030,2015,0.0,829,0.0
130030,2016,0.0,890,0.0
130030,2017,0.0,897,0.0
130030,2018,0.0,948,0.0
130030,2019,0.0,872,0.0
130040,2012,0.0,469,0.0
