CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total,Ratio
120032,2012,10.0,269,0.03717472118959108
120032,2013,8.0,271,0.02952029520295203
120032,2014,6.0,282,0.02127659574468085
120032,2015,8.0,273,0.029304029304029304
120032,2016,2.0,263,0.0076045627376425855
120032,2017,2.0,266,0.007518796992481203
120032,2018,2.0,274,0.0072992700729927005
120032,2019,1.0,218,0.0045871559633027525
120032,2020,2.0,205,0.00975609756097561
120033,2012,9.0,386,0.023316062176165803
120033,2013,5.0,399,0.012531328320802004
120033,2014,6.0,413,0.014527845036319613
120033,2015,3.0,395,0.007594936708860759
120033,2016,2.0,325,0.006153846153846154
120033,2017,2.0,358,0.00558659217877095
120033,2018,2.0,367,0.005449591280653951
120033,2019,0.0,345,0.0
120033,2020,2.0,420,0.004761904761904762
120034,2012,19.0,256,0.07421875
120034,2013,10.0,229,0.043668122270742356
120034,2014,11.0,243,0.04526748971193416
120034,2015,11.0,266,0.041353383458646614
120034,2016,5.0,236,0.0211864406779661
120034,2017,2.0,261,0.007662835249042145
120034,2018,1.0,252,0.003968253968253968
120034,2019,1.0,230,0.004347826086956522
120034,2020,5.0,280,0.017857142857142856
120035,2012,8.0,474,0.016877637130801686
120035,2013,8.0,485,0.016494845360824743
120035,2014,5.0,458,0.010917030567685589
120035,2015,10.0,445,0.02247191011235955
120035,2016,8.0,352,0.022727272727272728
120035,2017,5.0,388,0.01288659793814433
120035,2018,0.0,407,0.0
120035,2019,3.0,448,0.006696428571428571
120035,2020,5.0,334,0.014970059880239521
120038,2012,4.0,353,0.0113314447592068
120038,2013,3.0,334,0.008982035928143712
120038,2014,2.0,322,0.006211180124223602
120038,2015,7.0,350,0.02
120038,2016,9.0,339,0.02654867256637168
120038,2017,6.0,305,0.019672131147540985
120038,2018,6.0,309,0.019417475728155338
120038,2019,2.0,318,0.006289308176100629
120038,2020,6.0,285,0.021052631578947368
120039,2012,13.0,338,0.038461538461538464
120039,2013,12.0,287,0.041811846689895474
120039,2014,3.0,250,0.012
120039,2015,3.0,262,0.011450381679389313
120039,2016,4.0,230,0.017391304347826087
120039,2017,6.0,282,0.02127659574468085
120039,2018,0.0,254,0.0
120039,2019,2.0,270,0.007407407407407408
120039,2020,5.0,287,0.017421602787456445
120040,2012,76.0,6531,0.011636809064461798
120040,2013,32.0,7116,0.004496908375491849
120040,2014,77.0,7011,0.010982741406361431
120040,2015,149.0,6965,0.02139267767408471
120040,2016,96.0,6614,0.01451466586029634
120040,2017,122.0,6460,0.01888544891640867
120040,2018,111.0,6495,0.017090069284064664
120040,2019,76.0,6324,0.012017710309930424
120040,2020,196.0,5745,0.03411662315056571
120042,2012,9.0,390,0.023076923076923078
120042,2013,11.0,363,0.030303030303030304
120042,2014,9.0,394,0.02284263959390863
120042,2015,6.0,396,0.015151515151515152
120042,2016,7.0,304,0.023026315789473683
120042,2017,3.0,366,0.00819672131147541
120042,2018,0.0,394,0.0
120042,2019,2.0,334,0.005988023952095809
120042,2020,2.0,347,0.005763688760806916
120043,2012,0.0,259,0.0
120043,2013,0.0,223,0.0
120043,2014,0.0,185,0.0
120043,2015,0.0,150,0.0
