CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total,Ratio
110146,2014,0.0,37,0.0
110146,2015,0.0,52,0.0
110146,2016,0.0,34,0.0
110146,2017,4.0,52,0.07692307692307693
110146,2018,2.0,52,0.038461538461538464
110146,2019,0.0,40,0.0
110146,2020,0.0,39,0.0
110147,2012,0.0,43,0.0
110147,2013,0.0,39,0.0
110147,2014,2.0,47,0.0425531914893617
110147,2015,2.0,40,0.05
110147,2016,6.0,56,0.10714285714285714
110147,2017,7.0,63,0.1111111111111111
110147,2018,0.0,38,0.0
110147,2019,4.0,43,0.09302325581395349
110147,2020,0.0,38,0.0
110148,2012,2.0,64,0.03125
110148,2013,0.0,61,0.0
110148,2014,0.0,59,0.0
110148,2015,4.0,73,0.0547945205479452
110148,2016,0.0,54,0.0
110148,2017,5.0,75,0.06666666666666667
110148,2018,0.0,54,0.0
110148,2019,2.0,54,0.037037037037037035
110148,2020,0.0,65,0.0
110149,2012,0.0,246,0.0
110149,2013,5.0,266,0.018796992481203006
110149,2014,2.0,308,0.006493506493506494
110149,2015,10.0,319,0.03134796238244514
110149,2016,1.0,305,0.003278688524590164
110149,2017,6.0,333,0.018018018018018018
110149,2018,13.0,327,0.039755351681957186
110149,2019,3.0,303,0.009900990099009901
110149,2020,5.0,266,0.018796992481203006
110150,2012,0.0,190,0.0
110150,2013,2.0,184,0.010869565217391304
110150,2014,2.0,170,0.011764705882352941
110150,2015,4.0,188,0.02127659574468085
110150,2016,4.0,171,0.023391812865497075
110150,2017,4.0,188,0.02127659574468085
110150,2018,6.0,154,0.03896103896103896
110150,2019,4.0,168,0.023809523809523808
110150,2020,6.0,162,0.037037037037037035
110155,2012,0.0,57,0.0
110155,2013,0.0,80,0.0
110155,2014,0.0,69,0.0
110155,2015,7.0,71,0.09859154929577464
110155,2016,1.0,59,0.01694915254237288
110155,2017,0.0,58,0.0
110155,2018,0.0,60,0.0
110155,2019,0.0,64,0.0
110155,2020,0.0,42,0.0
110160,2012,4.0,133,0.03007518796992481
110160,2013,0.0,106,0.0
110160,2014,2.0,125,0.016
110160,2015,3.0,107,0.028037383177570093
110160,2016,2.0,131,0.015267175572519083
110160,2017,4.0,146,0.0273972602739726
110160,2018,8.0,131,0.061068702290076333
110160,2019,1.0,97,0.010309278350515464
110160,2020,2.0,115,0.017391304347826087
110170,2012,2.0,146,0.0136986301369863
110170,2013,2.0,150,0.013333333333333334
110170,2014,2.0,122,0.01639344262295082
110170,2015,2.0,138,0.014492753623188406
110170,2016,2.0,151,0.013245033112582781
110170,2017,2.0,150,0.013333333333333334
110170,2018,0.0,139,0.0
110170,2019,3.0,170,0.01764705882352941
110170,2020,0.0,143,0.0
110175,2012,0.0,86,0.0
110175,2013,0.0,89,0.0
110175,2014,4.0,128,0.03125
110175,2015,6.0,106,0.05660377358490566
110175,2016,0.0,110,0.0
110175,2017,0.0,86,0.0
110175,2018,0.0,91,0.0
110175,2019,1.0,93,0.010752688172043012
110175,2020,4.0,72,0.05555555555555555
110180,2012,4.0,83,0.04819277108433735
110180,2013,0.0,107,0.0
110180,2014,4.0,90,0.044444444444444446
110180,2015,0.0,63,0.0
110180,2016,4.0,98,0.04081632653061224
110180,2017,2.0,79,0.02531645569620253
110180,2018,0.0,95,0.0
110180,2019,1.0,81,0.012345679012345678
110180,2020,0.0,62,0.0
120000,2012,0.0,1,0.0
120001,2012,4.0,253,0.015810276679841896
120001,2013,4.0,258,0.015503875968992248
120001,2014,6.0,269,0.022304832713754646
120001,2015,2.0,217,0.009216589861751152
120001,2016,6.0,222,0.02702702702702703
120001,2017,0.0,256,0.0
120001,2018,5.0,216,0.023148148148148147
120001,2019,8.0,257,0.0311284046692607
120001,2020,6.0,237,0.02531645569620253
120005,2012,4.0,219,0.0182648401826484
120005,2013,0.0,213,0.0
120005,2014,1.0,196,0.00510204081632653
120005,2015,2.0,238,0.008403361344537815
120005,2016,0.0,190,0.0
120005,2017,4.0,248,0.016129032258064516
120005,2018,9.0,264,0.03409090909090909
120005,2019,5.0,266,0.018796992481203006
120005,2020,2.0,215,0.009302325581395349
120010,2012,8.0,505,0.015841584158415842
120010,2013,6.0,530,0.011320754716981131
120010,2014,15.0,547,0.027422303473491772
120010,2015,4.0,531,0.007532956685499058
120010,2016,14.0,490,0.02857142857142857
120010,2017,4.0,570,0.007017543859649123
120010,2018,6.0,540,0.011111111111111112
120010,2019,8.0,540,0.014814814814814815
120010,2020,12.0,527,0.022770398481973434
120013,2012,2.0,198,0.010101010101010102
