CODMUNRES,Ano,Qtd_Neonatal_Precoce,Qtd_Total,Ratio
130040,2014,2.0,419,0.00477326968973747
130040,2015,18.0,505,0.03564356435643564
130040,2016,19.0,496,0.038306451612903226
130040,2017,25.0,524,0.04770992366412214
130040,2018,14.0,570,0.02456140350877193
130040,2019,7.0,556,0.012589928057553957
130050,2012,1.0,707,0.0014144271570014145
130050,2013,1.0,769,0.0013003901170351106
130050,2014,7.0,756,0.009259259259259259
130050,2015,2.0,815,0.00245398773006135
130050,2016,4.0,810,0.0049382716049382715
130050,2017,7.0,870,0.008045977011494253
130050,2018,3.0,851,0.0035252643948296123
130050,2019,6.0,857,0.007001166861143524
130060,2012,2.0,1053,0.001899335232668566
130060,2013,5.0,1036,0.004826254826254826
130060,2014,2.0,1077,0.0018570102135561746
130060,2015,7.0,968,0.007231404958677686
130060,2016,3.0,1021,0.002938295788442703
130060,2017,4.0,1039,0.0038498556304138597
130060,2018,1.0,985,0.0010152284263959391
130060,2019,6.0,1030,0.005825242718446602
130063,2012,2.0,427,0.00468384074941452
130063,2013,0.0,428,0.0
130063,2014,1.0,488,0.0020491803278688526
130063,2015,1.0,489,0.002044989775051125
130063,2016,1.0,510,0.00196078431372549
130063,2017,1.0,597,0.0016750418760469012
130063,2018,1.0,501,0.001996007984031936
130063,2019,0.0,525,0.0
130068,2012,0.0,260,0.0
130068,2013,1.0,321,0.003115264797507788
130068,2014,1.0,328,0.003048780487804878
130068,2015,2.0,369,0.005420054200542005
130068,2016,1.0,312,0.003205128205128205
130068,2017,1.0,319,0.003134796238244514
130068,2018,2.0,318,0.006289308176100629
130068,2019,4.0,330,0.012121212121212121
130070,2012,0.0,741,0.0
130070,2013,1.0,763,0.001310615989515072
130070,2014,3.0,734,0.004087193460490463
130070,2015,3.0,695,0.004316546762589928
130070,2016,1.0,653,0.0015313935681470138
130070,2017,4.0,771,0.005188067444876783
130070,2018,5.0,739,0.006765899864682003
130070,2019,1.0,725,0.001379310344827586
130080,2012,1.0,690,0.0014492753623188406
