CODMUNRES,ano_nasc,Qtd_4a_serie,Qtd_Total,Ratio
120013,2017,37.0,307,0.12052117263843648
120013,2018,35.0,306,0.11437908496732026
120013,2019,24.0,329,0.0729483282674772
120017,2012,40.0,201,0.19900497512437812
120017,2013,41.0,193,0.21243523316062177
120017,2014,38.0,234,0.1623931623931624
120017,2015,26.0,219,0.1187214611872146
120017,2016,26.0,194,0.13402061855670103
120017,2017,30.0,243,0.12345679012345678
120017,2018,33.0,222,0.14864864864864866
120017,2019,23.0,217,0.10599078341013825
120020,2012,201.0,1741,0.1154508902929351
120020,2013,172.0,1783,0.09646662927650028
120020,2014,163.0,1818,0.08965896589658966
120020,2015,283.0,1839,0.15388798259923872
120020,2016,110.0,1632,0.06740196078431372
120020,2017,107.0,1683,0.06357694592988711
120020,2018,99.0,1755,0.05641025641025641
120020,2019,62.0,1809,0.03427307904919845
120025,2012,26.0,282,0.09219858156028368
120025,2013,42.0,275,0.15272727272727274
120025,2014,42.0,262,0.16030534351145037
120025,2015,32.0,279,0.11469534050179211
120025,2016,36.0,270,0.13333333333333333
120025,2017,20.0,290,0.06896551724137931
120025,2018,16.0,273,0.05860805860805861
120025,2019,22.0,314,0.07006369426751592
120030,2012,284.0,902,0.3148558758314856
120030,2013,269.0,790,0.34050632911392403
120030,2014,274.0,829,0.330518697225573
120030,2015,179.0,771,0.23216601815823606
120030,2016,212.0,833,0.2545018007202881
120030,2017,179.0,825,0.21696969696969698
120030,2018,167.0,833,0.20048019207683074
120030,2019,153.0,871,0.1756601607347876
120032,2012,120.0,267,0.449438202247191
120032,2013,107.0,271,0.3948339483394834
120032,2014,78.0,282,0.2765957446808511
120032,2015,80.0,273,0.29304029304029305
120032,2016,60.0,263,0.22813688212927757
120032,2017,64.0,265,0.24150943396226415
120032,2018,57.0,273,0.2087912087912088
120032,2019,34.0,217,0.15668202764976957
120033,2012,60.0,386,0.15544041450777202
120033,2013,38.0,399,0.09523809523809523
120033,2014,32.0,413,0.0774818401937046
120033,2015,48.0,395,0.12151898734177215
120033,2016,32.0,325,0.09846153846153846
120033,2017,26.0,358,0.07262569832402235
120033,2018,16.0,367,0.043596730245231606
120033,2019,13.0,345,0.03768115942028986
120034,2012,103.0,256,0.40234375
120034,2013,71.0,229,0.31004366812227074
120034,2014,95.0,241,0.3941908713692946
120034,2015,93.0,266,0.34962406015037595
120034,2016,72.0,235,0.30638297872340425
120034,2017,57.0,259,0.22007722007722008
120034,2018,62.0,251,0.24701195219123506
120034,2019,48.0,230,0.20869565217391303
120035,2012,149.0,472,0.3156779661016949
120035,2013,122.0,482,0.25311203319502074
120035,2014,128.0,456,0.2807017543859649
120035,2015,119.0,444,0.268018018018018
120035,2016,93.0,351,0.26495726495726496
120035,2017,63.0,387,0.16279069767441862
120035,2018,73.0,406,0.17980295566502463
120035,2019,59.0,448,0.13169642857142858
120038,2012,56.0,353,0.15864022662889518
120038,2013,43.0,334,0.12874251497005987
120038,2014,60.0,322,0.18633540372670807
120038,2015,36.0,350,0.10285714285714286
120038,2016,40.0,339,0.11799410029498525
120038,2017,27.0,305,0.08852459016393442
120038,2018,31.0,309,0.10032362459546926
120038,2019,22.0,318,0.06918238993710692
120039,2012,90.0,338,0.26627218934911245
120039,2013,76.0,287,0.26480836236933797
120039,2014,54.0,250,0.216
120039,2015,61.0,262,0.23282442748091603
120039,2016,41.0,230,0.1782608695652174
120039,2017,35.0,282,0.12411347517730496
120039,2018,22.0,253,0.08695652173913043
120039,2019,23.0,270,0.08518518518518518
120040,2012,450.0,6530,0.06891271056661562
120040,2013,433.0,7116,0.06084879145587409
120040,2014,385.0,7009,0.05492937651590812
120040,2015,369.0,6965,0.0529791816223977
120040,2016,345.0,6612,0.052177858439201454
120040,2017,247.0,6460,0.03823529411764706
120040,2018,263.0,6495,0.04049268668206313
120040,2019,245.0,6322,0.03875355900031636
120042,2012,67.0,390,0.1717948717948718
120042,2013,45.0,363,0.12396694214876033
120042,2014,44.0,394,0.1116751269035533
120042,2015,68.0,396,0.1717171717171717
120042,2016,47.0,304,0.15460526315789475
120042,2017,56.0,366,0.15300546448087432
120042,2018,79.0,394,0.20050761421319796
120042,2019,57.0,334,0.17065868263473055
120043,2012,145.0,257,0.5642023346303502
120043,2013,90.0,222,0.40540540540540543
120043,2014,95.0,181,0.5248618784530387
120043,2015,54.0,148,0.36486486486486486
120043,2016,42.0,94,0.44680851063829785
120043,2017,65.0,198,0.3282828282828283
120043,2018,50.0,206,0.24271844660194175
120043,2019,61.0,182,0.33516483516483514
120045,2012,43.0,396,0.10858585858585859
120045,2013,36.0,425,0.08470588235294117
120045,2014,28.0,453,0.06181015452538632
120045,2015,32.0,443,0.07223476297968397
120045,2016,33.0,410,0.08048780487804878
120045,2017,24.0,395,0.060759493670886074
120045,2018,35.0,476,0.07352941176470588
120045,2019,32.0,417,0.07673860911270983
120050,2012,223.0,929,0.24004305705059203
