CODMUNRES,ano_nasc,Qtd_Total
150215,2018,1232
150215,2019,1174
150220,2012,1087
150220,2013,1189
150220,2014,1095
150220,2015,1138
150220,2016,1050
150220,2017,1040
150220,2018,1046
150220,2019,1059
150230,2012,827
150230,2013,839
150230,2014,852
150230,2015,859
150230,2016,807
150230,2017,815
150230,2018,941
150230,2019,946
150240,2012,3169
150240,2013,3161
150240,2014,3218
150240,2015,3300
150240,2016,3129
150240,2017,3196
150240,2018,3305
150240,2019,3347
150250,2012,283
150250,2013,281
150250,2014,342
150250,2015,355
150250,2016,370
150250,2017,372
150250,2018,419
150250,2019,342
150260,2012,151
150260,2013,155
150260,2014,182
150260,2015,184
150260,2016,199
150260,2017,164
150260,2018,184
150260,2019,157
150270,2012,756
150270,2013,745
150270,2014,805
150270,2015,787
150270,2016,758
150270,2017,777
150270,2018,791
150270,2019,707
150275,2012,498
150275,2013,559
150275,2014,505
150275,2015,536
150275,2016,500
150275,2017,498
150275,2018,562
150275,2019,546
150276,2012,147
150276,2013,129
150276,2014,137
150276,2015,138
150276,2016,158
150276,2017,166
150276,2018,180
150276,2019,200
150277,2012,443
150277,2013,415
150277,2014,399
150277,2015,400
150277,2016,328
150277,2017,290
150277,2018,308
150277,2019,312
150280,2012,631
150280,2013,621
150280,2014,645
150280,2015,681
150280,2016,698
150280,2017,733
150280,2018,748
150280,2019,699
150285,2012,208
150285,2013,220
150285,2014,247
150285,2015,208
150285,2016,208
150285,2017,192
150285,2018,238
150285,2019,239
150290,2012,498
150290,2013,472
150290,2014,530
150290,2015,526
150290,2016,527
150290,2017,491
150290,2018,555
150290,2019,548
150293,2012,700
150293,2013,678
150293,2014,705
150293,2015,762
150293,2016,692
150293,2017,692
150293,2018,647
150293,2019,596
150295,2012,513
150295,2013,506
150295,2014,547
150295,2015,504
150295,2016,409
150295,2017,413
150295,2018,530
150295,2019,483
150300,2012,147
150300,2013,138
150300,2014,174
150300,2015,124
150300,2016,121
150300,2017,153
150300,2018,142
150300,2019,124
150304,2012,298
150304,2013,277
150304,2014,296
150304,2015,327
150304,2016,327
150304,2017,337
150304,2018,376
150304,2019,346
150307,2012,431
150307,2013,505
150307,2014,508
150307,2015,431
150307,2016,411
150307,2017,411
150307,2018,423
150307,2019,487
150309,2012,721
150309,2013,662
150309,2014,536
150309,2015,524
150309,2016,463
