CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
310900,2012,6,13,0.4615384615384615
310900,2013,5,11,0.4545454545454545
310900,2014,5,14,0.3571428571428571
310900,2015,4,11,0.3636363636363636
310900,2016,7,8,0.875
310900,2017,0,9,0.0
310900,2018,1,12,0.0833333333333333
310900,2019,30,42,0.7142857142857143
310910,2013,1,4,0.25
310910,2015,2,2,1.0
310910,2016,1,1,1.0
310910,2017,1,2,0.5
310910,2018,1,3,0.3333333333333333
310910,2019,2,6,0.3333333333333333
310920,2012,1,4,0.25
310920,2013,0,6,0.0
310920,2014,0,4,0.0
310920,2015,0,2,0.0
310920,2016,3,9,0.3333333333333333
310920,2017,0,4,0.0
310920,2018,0,1,0.0
310920,2019,0,2,0.0
310925,2013,1,1,1.0
310925,2014,2,2,1.0
310925,2015,3,3,1.0
310925,2016,0,1,0.0
310925,2017,2,2,1.0
310925,2018,1,1,1.0
310930,2012,4,9,0.4444444444444444
310930,2013,1,5,0.2
310930,2014,5,8,0.625
310930,2015,8,14,0.5714285714285714
310930,2016,0,5,0.0
310930,2017,1,5,0.2
310930,2018,3,10,0.3
310930,2019,6,10,0.6
310940,2012,2,20,0.1
310940,2013,2,15,0.1333333333333333
310940,2014,0,8,0.0
310940,2015,7,11,0.6363636363636364
310940,2016,6,14,0.4285714285714285
310940,2017,2,15,0.1333333333333333
310940,2018,0,11,0.0
310940,2019,1,7,0.1428571428571428
310945,2012,1,2,0.5
310945,2013,1,1,1.0
310945,2014,1,3,0.3333333333333333
310945,2015,2,2,1.0
310945,2016,1,2,0.5
310945,2017,1,3,0.3333333333333333
310945,2018,1,2,0.5
310950,2012,4,4,1.0
310950,2013,3,6,0.5
310950,2014,0,2,0.0
310950,2015,0,2,0.0
310950,2016,1,7,0.1428571428571428
310950,2017,0,5,0.0
310950,2018,0,2,0.0
310950,2019,2,4,0.5
310960,2012,0,2,0.0
310960,2014,0,2,0.0
310960,2015,0,1,0.0
310960,2016,0,2,0.0
310960,2017,0,4,0.0
310960,2018,0,1,0.0
310960,2019,0,1,0.0
310970,2012,0,2,0.0
310970,2013,0,1,0.0
310970,2014,0,2,0.0
310970,2015,2,2,1.0
310970,2016,1,1,1.0
310970,2017,0,1,0.0
310970,2018,2,2,1.0
310970,2019,2,4,0.5
310980,2012,0,1,0.0
310980,2013,0,1,0.0
310980,2015,0,2,0.0
310980,2016,1,2,0.5
310980,2018,0,1,0.0
310980,2019,1,2,0.5
310990,2012,0,3,0.0
310990,2013,0,4,0.0
310990,2014,0,3,0.0
310990,2015,2,3,0.6666666666666666
310990,2016,0,5,0.0
310990,2017,1,5,0.2
310990,2018,1,8,0.125
310990,2019,0,4,0.0
311000,2012,1,13,0.0769230769230769
311000,2013,9,15,0.6
311000,2014,2,15,0.1333333333333333
311000,2015,3,16,0.1875
311000,2016,6,13,0.4615384615384615
311000,2017,1,15,0.0666666666666666
311000,2018,3,11,0.2727272727272727
311000,2019,0,5,0.0
311010,2012,2,3,0.6666666666666666
311010,2013,1,4,0.25
311010,2014,0,1,0.0
311010,2015,1,1,1.0
311010,2016,3,3,1.0
311010,2017,4,4,1.0
311010,2018,0,1,0.0
311010,2019,0,4,0.0
311020,2013,0,2,0.0
311020,2016,0,1,0.0
311020,2017,1,2,0.5
311020,2018,1,5,0.2
311020,2019,0,2,0.0
311030,2012,2,7,0.2857142857142857
311030,2013,0,8,0.0
311030,2014,0,4,0.0
311030,2015,1,4,0.25
311030,2016,1,3,0.3333333333333333
311030,2017,0,6,0.0
311030,2018,0,6,0.0
311030,2019,0,2,0.0
311040,2012,0,1,0.0
311040,2014,0,1,0.0
311040,2015,0,1,0.0
311040,2017,2,2,1.0
311040,2019,0,1,0.0
311050,2012,3,4,0.75
311050,2013,2,5,0.4
311050,2014,2,4,0.5
311050,2015,7,7,1.0
