CODMUNRES,ano_nasc,Qtd_Menor20,Qtd_Total,Ratio
120005,2017,82.0,247,0.3319838056680162
120005,2018,106.0,264,0.4015151515151515
120005,2019,94.0,266,0.3533834586466165
120010,2012,178.0,505,0.35247524752475246
120010,2013,209.0,530,0.39433962264150946
120010,2014,206.0,547,0.376599634369287
120010,2015,190.0,530,0.3584905660377358
120010,2016,162.0,489,0.3312883435582822
120010,2017,202.0,570,0.3543859649122807
120010,2018,180.0,540,0.3333333333333333
120010,2019,175.0,540,0.32407407407407407
120013,2012,59.0,198,0.29797979797979796
120013,2013,79.0,202,0.3910891089108911
120013,2014,97.0,242,0.40082644628099173
120013,2015,83.0,248,0.3346774193548387
120013,2016,91.0,248,0.36693548387096775
120013,2017,110.0,307,0.3583061889250814
120013,2018,106.0,306,0.3464052287581699
120013,2019,106.0,329,0.3221884498480243
120017,2012,64.0,201,0.31840796019900497
120017,2013,63.0,193,0.32642487046632124
120017,2014,88.0,234,0.37606837606837606
120017,2015,80.0,219,0.365296803652968
120017,2016,63.0,194,0.3247422680412371
120017,2017,82.0,243,0.3374485596707819
120017,2018,75.0,222,0.33783783783783783
120017,2019,68.0,217,0.31336405529953915
120020,2012,604.0,1741,0.3469270534175761
120020,2013,628.0,1783,0.35221536735838477
120020,2014,629.0,1818,0.34598459845984597
120020,2015,614.0,1839,0.33387710712343666
120020,2016,551.0,1632,0.33762254901960786
120020,2017,542.0,1683,0.32204396910279265
120020,2018,542.0,1755,0.3088319088319088
120020,2019,557.0,1809,0.30790491984521834
120025,2012,85.0,282,0.30141843971631205
120025,2013,95.0,275,0.34545454545454546
120025,2014,84.0,262,0.32061068702290074
120025,2015,101.0,279,0.36200716845878134
120025,2016,79.0,270,0.29259259259259257
120025,2017,95.0,290,0.3275862068965517
120025,2018,85.0,273,0.31135531135531136
120025,2019,78.0,314,0.2484076433121019
120030,2012,322.0,902,0.35698447893569846
120030,2013,304.0,790,0.3848101265822785
120030,2014,312.0,829,0.376357056694813
120030,2015,309.0,771,0.40077821011673154
120030,2016,326.0,833,0.39135654261704683
120030,2017,282.0,825,0.3418181818181818
120030,2018,325.0,833,0.39015606242497
120030,2019,323.0,871,0.37083811710677383
120032,2012,103.0,267,0.3857677902621723
120032,2013,107.0,271,0.3948339483394834
120032,2014,104.0,282,0.36879432624113473
120032,2015,116.0,273,0.4249084249084249
120032,2016,104.0,263,0.39543726235741444
120032,2017,102.0,265,0.3849056603773585
120032,2018,116.0,273,0.4249084249084249
120032,2019,90.0,217,0.4147465437788018
120033,2012,121.0,386,0.3134715025906736
120033,2013,142.0,399,0.3558897243107769
120033,2014,127.0,413,0.3075060532687651
120033,2015,133.0,395,0.3367088607594937
120033,2016,118.0,325,0.3630769230769231
120033,2017,114.0,358,0.31843575418994413
120033,2018,131.0,367,0.3569482288828338
120033,2019,106.0,345,0.3072463768115942
120034,2012,95.0,256,0.37109375
120034,2013,88.0,229,0.38427947598253276
120034,2014,82.0,241,0.34024896265560167
120034,2015,111.0,266,0.41729323308270677
120034,2016,80.0,235,0.3404255319148936
120034,2017,82.0,259,0.3166023166023166
